dex	species	form	gender	palette	atlas	runtime_strip	scale_class	height_dm	file_sha256	rgba_sha256	runtime_content_width	runtime_content_height	source_document_sha256	source_manifest_sha256	motion_profile
008	Wartortle	00	none	normal	assets/pokemon-walksheets-549/dex-008__species-wartortle__form-00__gender-none__palette-normal__walk-3x4.png	assets/pokemon-runtime-549/dex-008__species-wartortle__form-00__gender-none__palette-normal__walk-3x4.png	pokemon_medium		6878625dc824c673e5c5583d473e28d61877a8a46f008d1d86a5c72c16692ed5	22dc9e0f2f88b2bd6690a12451fe4fcf30e70eb4c3c99155463856fe5c81d13e	15	16	57a9f8b0f265d153e6d2ee56d76c15d3e1df433d14ef47b9c06800c76838b1f2	25be382bec0caa1f1db4a0422dac8c05e2c72f1aa87c05e78b376e8722b24e40	terrestrial-biped-light-v1
008	Wartortle	00	none	shiny	assets/pokemon-walksheets-549/dex-008__species-wartortle__form-00__gender-none__palette-shiny__walk-3x4.png	assets/pokemon-runtime-549/dex-008__species-wartortle__form-00__gender-none__palette-shiny__walk-3x4.png	pokemon_medium		ede94f291a3ba2af00fb919cd3223d3c6db31003d8d27347bc2da574b3d63949	7aa3e1123e4d4a31c025356595a63d5629994176637fc072f2ba521fcc267ad7	15	16	1a58d4eb1ffb22e9936a710a30fbf9a46e1712dcfdb655e46fcf5ef190674429	25be382bec0caa1f1db4a0422dac8c05e2c72f1aa87c05e78b376e8722b24e40	terrestrial-biped-light-v1
009	Blastoise	00	none	normal	assets/pokemon-walksheets-549/dex-009__species-blastoise__form-00__gender-none__palette-normal__walk-3x4.png	assets/pokemon-runtime-549/dex-009__species-blastoise__form-00__gender-none__palette-normal__walk-3x4.png	pokemon_medium		2cf60cd2af46db55860bfb606ccb69b4ae7d55ac15c0df893ac002f4311c7aae	6c757dd1e7080e538028253e5042e0d29b1fe677bc7da4bd02862c6d8c225b1d	15	15	2a8a2a65556996101a837fd2d1f578d76af85b0dcc03ad254bc812eeac15f570	25be382bec0caa1f1db4a0422dac8c05e2c72f1aa87c05e78b376e8722b24e40	terrestrial-biped-heavy-v1
009	Blastoise	00	none	shiny	assets/pokemon-walksheets-549/dex-009__species-blastoise__form-00__gender-none__palette-shiny__walk-3x4.png	assets/pokemon-runtime-549/dex-009__species-blastoise__form-00__gender-none__palette-shiny__walk-3x4.png	pokemon_medium		9fc77068c390ab79993bcd55793115270639d78190850730f712d2f5334f5bb8	df5ec1d657be542e24f0b8b0c0b3afd1181a4d95a6945500567fad0ab8ce9dfc	15	15	436524817ed0bedba826f22376f53524d26e5051df8a54ae78f205b624063c2f	25be382bec0caa1f1db4a0422dac8c05e2c72f1aa87c05e78b376e8722b24e40	terrestrial-biped-heavy-v1
010	Caterpie	00	none	normal	assets/pokemon-walksheets-549/dex-010__species-caterpie__form-00__gender-none__palette-normal__walk-3x4.png	assets/pokemon-runtime-549/dex-010__species-caterpie__form-00__gender-none__palette-normal__walk-3x4.png	pokemon_medium		28c01a8e0c27dd1cf7fd90da6469410033dd686a0145ffe4a06824d1e9b6ad37	7ffac7f415959f253b32678cc19ab2ab1144eac8f9ab8bf5c985bcf4703cea7e	15	16	6accac629faa19dd1f8d87af6e79b89e2bfa5654ee69bbd7e2cec8e888d77a3c	25be382bec0caa1f1db4a0422dac8c05e2c72f1aa87c05e78b376e8722b24e40	larval-inchworm-v1
010	Caterpie	00	none	shiny	assets/pokemon-walksheets-549/dex-010__species-caterpie__form-00__gender-none__palette-shiny__walk-3x4.png	assets/pokemon-runtime-549/dex-010__species-caterpie__form-00__gender-none__palette-shiny__walk-3x4.png	pokemon_medium		828b387e333c4de7b006294fa29c6208ce6d57dabe8d7340b7d7b6da30f87978	8eeeb15d13007ac67615ee90bc0396db4fc5dcf522f71de051858a9ba886bb3c	15	16	e7302b5d6049d313f9c12bde75a19143b5e3ef85bfb546c0f533f973beb90e7d	25be382bec0caa1f1db4a0422dac8c05e2c72f1aa87c05e78b376e8722b24e40	larval-inchworm-v1
011	Metapod	00	none	normal	assets/pokemon-walksheets-549/dex-011__species-metapod__form-00__gender-none__palette-normal__walk-3x4.png	assets/pokemon-runtime-549/dex-011__species-metapod__form-00__gender-none__palette-normal__walk-3x4.png	pokemon_medium		38a90d4fbd4891532bc8d014e5121e6765bbdc868c9dfcd2a4bd3de351da8cba	3382b023c060658c60e96913f5054d6adce0ec35ba49b53b03c20aeca63ed61a	15	16	b54e92f1ed2626a8c7b88f4b4eefdf0423414129e24ab6484a892f0a3418d20c	25be382bec0caa1f1db4a0422dac8c05e2c72f1aa87c05e78b376e8722b24e40	ground-hop-bounce-v1
011	Metapod	00	none	shiny	assets/pokemon-walksheets-549/dex-011__species-metapod__form-00__gender-none__palette-shiny__walk-3x4.png	assets/pokemon-runtime-549/dex-011__species-metapod__form-00__gender-none__palette-shiny__walk-3x4.png	pokemon_medium		330b0d14ef2325865625569170fa037ba43908a96814332e4f88d96761edd97f	9d770b4f8b2786768a3535b3f5d6c86eb2009c5aa134761da53c75587fa0ef49	15	16	e380e9b57afecdf201bb1b89a03a581dcc785c1aceccfe6d7f3f39b664554504	25be382bec0caa1f1db4a0422dac8c05e2c72f1aa87c05e78b376e8722b24e40	ground-hop-bounce-v1
012	Butterfree	00	none	normal	assets/pokemon-walksheets-549/dex-012__species-butterfree__form-00__gender-none__palette-normal__walk-3x4.png	assets/pokemon-runtime-549/dex-012__species-butterfree__form-00__gender-none__palette-normal__walk-3x4.png	pokemon_medium		cac1cba7b147caca7b178964da1936b172b0a3cbee0a9e3d2b5ed61206025772	68b7565fba08acbdb2e1eaced993410fdd34a634f433a3854fa0076685ab7fe8	15	16	8bbdcf1c28dce82d57af555639fa53d53ceeef9de8dc2803d74ae7b0dadc23f9	25be382bec0caa1f1db4a0422dac8c05e2c72f1aa87c05e78b376e8722b24e40	airborne-wing-flap-v1
012	Butterfree	00	none	shiny	assets/pokemon-walksheets-549/dex-012__species-butterfree__form-00__gender-none__palette-shiny__walk-3x4.png	assets/pokemon-runtime-549/dex-012__species-butterfree__form-00__gender-none__palette-shiny__walk-3x4.png	pokemon_medium		1a2b3b8777808cd353df5dc5b6233fa05e3eb53fc01dd586326cc34225407920	2c031d719780cafb92f99f83a673808160d83ad397eb2c09f2a00eccdc917b6e	15	16	4586b9f4c4427b0eb5f177402e9322b0f1d61ad8355ccb13af3a68ae6553c7eb	25be382bec0caa1f1db4a0422dac8c05e2c72f1aa87c05e78b376e8722b24e40	airborne-wing-flap-v1
013	Weedle	00	none	normal	assets/pokemon-walksheets-549/dex-013__species-weedle__form-00__gender-none__palette-normal__walk-3x4.png	assets/pokemon-runtime-549/dex-013__species-weedle__form-00__gender-none__palette-normal__walk-3x4.png	pokemon_medium		0b0e0723df4afe2c1c86f4029a57fea4fe3e2ec9b69eb35a407d9649066ce54a	88126d1c8ef3e6f03f2443dc54f867c198edf2de8175322dd50df82f5c4e130f	15	16	d446c66fe46d3a97939eb52fc1571e2ff4a960ac55350ef9220ac6a5852b47e2	25be382bec0caa1f1db4a0422dac8c05e2c72f1aa87c05e78b376e8722b24e40	larval-inchworm-v1
013	Weedle	00	none	shiny	assets/pokemon-walksheets-549/dex-013__species-weedle__form-00__gender-none__palette-shiny__walk-3x4.png	assets/pokemon-runtime-549/dex-013__species-weedle__form-00__gender-none__palette-shiny__walk-3x4.png	pokemon_medium		3a3d0a322692d835200462034de74e96ec0655410597741c39c3f2b0552555f5	513817660cb037d805da72b279e0c6a5cad6c7ba0caebfc287fe84f80dc77061	15	16	8c0fae63598917f3ba060f98ea14c5c9844e75475ff95eb49c0a1b6779396635	25be382bec0caa1f1db4a0422dac8c05e2c72f1aa87c05e78b376e8722b24e40	larval-inchworm-v1
014	Kakuna	00	none	normal	assets/pokemon-walksheets-549/dex-014__species-kakuna__form-00__gender-none__palette-normal__walk-3x4.png	assets/pokemon-runtime-549/dex-014__species-kakuna__form-00__gender-none__palette-normal__walk-3x4.png	pokemon_medium		c160d576902c62d4df6f5de2e3b33cc08b04ead2320eac5b0369084fe16f71be	c0af591c0c45667fea6199ecdccfd0001c7048b2c39e0b800e323a6b283260d7	9	16	87d5b6f422688b0f9fe0d1810e90c13587dd1c95a465e35c064b879d405dcd40	25be382bec0caa1f1db4a0422dac8c05e2c72f1aa87c05e78b376e8722b24e40	ground-hop-bounce-v1
014	Kakuna	00	none	shiny	assets/pokemon-walksheets-549/dex-014__species-kakuna__form-00__gender-none__palette-shiny__walk-3x4.png	assets/pokemon-runtime-549/dex-014__species-kakuna__form-00__gender-none__palette-shiny__walk-3x4.png	pokemon_medium		4467278aa05c4b8c84bde82083cd934d2ad5fc63a6ace9c9adc4a2ccf8083fb0	dd44d1b7f987ef2438b3f40180a7ecf3a483b68c2a51ef007e0131a79adb7890	9	16	dad68b0e2a5a77e1670b915c37ad83c487587520e01f875b79ff909295c1dbfb	25be382bec0caa1f1db4a0422dac8c05e2c72f1aa87c05e78b376e8722b24e40	ground-hop-bounce-v1
015	Beedrill	00	none	normal	assets/pokemon-walksheets-549/dex-015__species-beedrill__form-00__gender-none__palette-normal__walk-3x4.png	assets/pokemon-runtime-549/dex-015__species-beedrill__form-00__gender-none__palette-normal__walk-3x4.png	pokemon_medium		022d7e474dbb6471b1f8a55de61eb5e8eee05da753682715761928ea5d90487b	e34e3eae9ea0d3763de3e809ffc17de206196cdd26844e1af141679bc0dd5271	15	15	0890aee0bf9b3b3b45b3e70f46cdd69c760e08235c741cb2c086435da4ab3fce	25be382bec0caa1f1db4a0422dac8c05e2c72f1aa87c05e78b376e8722b24e40	airborne-wing-flap-v1
015	Beedrill	00	none	shiny	assets/pokemon-walksheets-549/dex-015__species-beedrill__form-00__gender-none__palette-shiny__walk-3x4.png	assets/pokemon-runtime-549/dex-015__species-beedrill__form-00__gender-none__palette-shiny__walk-3x4.png	pokemon_medium		f0a711faa21f32a197a8987cb56da011f4a4bffdd86cdcd571e166a9db6e23d5	2d6c3c39f3d3bcf66b462a63d8d709eae12d2c86a970db819d41c224c7434eea	15	15	7f46de55f1f2add90db24b9a4e87f9a75221454b508398821e6ecf0bc6c48525	25be382bec0caa1f1db4a0422dac8c05e2c72f1aa87c05e78b376e8722b24e40	airborne-wing-flap-v1
016	Pidgey	00	none	normal	assets/pokemon-walksheets-549/dex-016__species-pidgey__form-00__gender-none__palette-normal__walk-3x4.png	assets/pokemon-runtime-549/dex-016__species-pidgey__form-00__gender-none__palette-normal__walk-3x4.png	pokemon_medium		e37a906d4856072791b48cb2efeddc629e8593e9560b5d055fa585ceb7284e70	ed123fdacd2518158c4514b85bba753cdbdd3f0e52ff4b2f8cdbac366222e151	15	14	ef08922ec2905bd741d51793df6df496bf20536ddf4f4dd04e4aa745f6b6de11	25be382bec0caa1f1db4a0422dac8c05e2c72f1aa87c05e78b376e8722b24e40	airborne-wing-flap-v1
016	Pidgey	00	none	shiny	assets/pokemon-walksheets-549/dex-016__species-pidgey__form-00__gender-none__palette-shiny__walk-3x4.png	assets/pokemon-runtime-549/dex-016__species-pidgey__form-00__gender-none__palette-shiny__walk-3x4.png	pokemon_medium		e80e15ebb3123ad110332c8586de8218a676dd6a4c49b4d7777bec4cdfe616aa	d09388deb350bc790c25ca29e8c93d958d74a5798405137a139b49c17c544793	15	14	2ebfc42e8d7aef71163bb871f8ab9c2d2192a9712a880a55fd88605b99f3dd88	25be382bec0caa1f1db4a0422dac8c05e2c72f1aa87c05e78b376e8722b24e40	airborne-wing-flap-v1
017	Pidgeotto	00	none	normal	assets/pokemon-walksheets-549/dex-017__species-pidgeotto__form-00__gender-none__palette-normal__walk-3x4.png	assets/pokemon-runtime-549/dex-017__species-pidgeotto__form-00__gender-none__palette-normal__walk-3x4.png	pokemon_medium		d5fea57006d61be39345f9347818e28b062b43a1cfd2e54b91f1a46360f79944	92059c962708a0e493e87f5647732acc37c1bc27415b04340f03fdb5972ae4cc	15	11	8eec3c73a7ee0bdd4d4b59c935421f6c24240e6b0d393fb206445e96a87bd66e	25be382bec0caa1f1db4a0422dac8c05e2c72f1aa87c05e78b376e8722b24e40	airborne-wing-flap-v1
017	Pidgeotto	00	none	shiny	assets/pokemon-walksheets-549/dex-017__species-pidgeotto__form-00__gender-none__palette-shiny__walk-3x4.png	assets/pokemon-runtime-549/dex-017__species-pidgeotto__form-00__gender-none__palette-shiny__walk-3x4.png	pokemon_medium		87f4a6e342a71f630b95031f610096b568ceff9a1c05da8517cacc3642b14fda	4052c6de4af7cd80c28759535d4d7a167c76a8e1089438eee139bbd70dd12b49	15	11	ffac4816795de0ae8467154b32086545a94bec096bfd8dcc05ecbba030b81a68	25be382bec0caa1f1db4a0422dac8c05e2c72f1aa87c05e78b376e8722b24e40	airborne-wing-flap-v1
018	Pidgeot	00	none	normal	assets/pokemon-walksheets-549/dex-018__species-pidgeot__form-00__gender-none__palette-normal__walk-3x4.png	assets/pokemon-runtime-549/dex-018__species-pidgeot__form-00__gender-none__palette-normal__walk-3x4.png	pokemon_medium		08a93f8b57da008fb03693ba3b2ce5bb88d432c4cbcd637034f47a707c1bff5c	9c427bfe138ca8098f5cf26771a9ab34c0b70a4084698150f8b100f4fbb04996	15	15	8113a5777f6e3e2e0d6342b6d4004f40e570ec546a11ae1893e0eef3d6c35b59	25be382bec0caa1f1db4a0422dac8c05e2c72f1aa87c05e78b376e8722b24e40	airborne-wing-flap-v1
018	Pidgeot	00	none	shiny	assets/pokemon-walksheets-549/dex-018__species-pidgeot__form-00__gender-none__palette-shiny__walk-3x4.png	assets/pokemon-runtime-549/dex-018__species-pidgeot__form-00__gender-none__palette-shiny__walk-3x4.png	pokemon_medium		f853a921b3dfbb4a8ca2db192eeb8a7a970736c3d5de48aecc0ec72ee004638b	8e0165218f503437653f542121dd73cef491fde71315ace318ca2261a3d059e7	15	15	56803b3a13adc217e8961380386b9454621663268ce0074dee98c58b1e355501	25be382bec0caa1f1db4a0422dac8c05e2c72f1aa87c05e78b376e8722b24e40	airborne-wing-flap-v1
019	Rattata	00	none	normal	assets/pokemon-walksheets-549/dex-019__species-rattata__form-00__gender-none__palette-normal__walk-3x4.png	assets/pokemon-runtime-549/dex-019__species-rattata__form-00__gender-none__palette-normal__walk-3x4.png	pokemon_medium		b431378b0c0e0dc91a240c200d086455b448a7f12b952251c53c6af00e60ea2e	2aec4a1be3922f0f83178677d22ea81ecaa8fb15fb1063f0638840aeed59a0e8	15	16	c832a6c60ada8f6a88627259501c25b02c6924d94be45d70b070905a62ccd295	25be382bec0caa1f1db4a0422dac8c05e2c72f1aa87c05e78b376e8722b24e40	terrestrial-quadruped-light-v1
019	Rattata	00	none	shiny	assets/pokemon-walksheets-549/dex-019__species-rattata__form-00__gender-none__palette-shiny__walk-3x4.png	assets/pokemon-runtime-549/dex-019__species-rattata__form-00__gender-none__palette-shiny__walk-3x4.png	pokemon_medium		5fe9f685783117cc9d9f1d28b18727ab4697b699fcc7ba2dfd01896636a1eded	a3c876608539e4948f8215a4c73580ce76be6d5f3e404fa60ee5435cc963363d	15	16	670ff6a79936ff78a7e79ea51f0bd2c55826538b4de6bb9ea72b493d9799c34c	25be382bec0caa1f1db4a0422dac8c05e2c72f1aa87c05e78b376e8722b24e40	terrestrial-quadruped-light-v1
020	Raticate	00	none	normal	assets/pokemon-walksheets-549/dex-020__species-raticate__form-00__gender-none__palette-normal__walk-3x4.png	assets/pokemon-runtime-549/dex-020__species-raticate__form-00__gender-none__palette-normal__walk-3x4.png	pokemon_medium		0712ed12d4d2d34f50e13bcbac8cf236725955b731433a6a758ef2e21a1a17c6	ed9ac495ea8c341e7142e2c4d8d3a54ab6b11d2c17a100fc37829b9d6180129c	15	16	9f838c61aff3a1b4cf1cdb5cdb7574553228c0549914ff0f6fb46a7d51f3b7e3	25be382bec0caa1f1db4a0422dac8c05e2c72f1aa87c05e78b376e8722b24e40	terrestrial-quadruped-light-v1
020	Raticate	00	none	shiny	assets/pokemon-walksheets-549/dex-020__species-raticate__form-00__gender-none__palette-shiny__walk-3x4.png	assets/pokemon-runtime-549/dex-020__species-raticate__form-00__gender-none__palette-shiny__walk-3x4.png	pokemon_medium		a0ae52f229d0d6e4f50abe98368ef77f7c7969b0884ceb68c170785bf8fa0c27	dde24c2f7ad55a57b813a838918ee0f010a20edd7d66a23bf0ced157faf8b087	15	16	883a66a5b5bf49e1f7d5b38bb58043d527f4454e081781fa3cd03da04ce36e72	25be382bec0caa1f1db4a0422dac8c05e2c72f1aa87c05e78b376e8722b24e40	terrestrial-quadruped-light-v1
021	Spearow	00	none	normal	assets/pokemon-walksheets-549/dex-021__species-spearow__form-00__gender-none__palette-normal__walk-3x4.png	assets/pokemon-runtime-549/dex-021__species-spearow__form-00__gender-none__palette-normal__walk-3x4.png	pokemon_medium		21d2fcc672f160d8fa221f68c1dbeb26615c20c60029132f5dd7d6abcb44ff90	ae6b8048ac5ee8d6c78dbe95b6ee1dc188c6611c9458b63c4c7abfde9c08ee57	15	10	82d4179b679a6f60de5ca10b4e8d1cf7074b8d2aa6374db3a49008ed081a263f	25be382bec0caa1f1db4a0422dac8c05e2c72f1aa87c05e78b376e8722b24e40	airborne-wing-flap-v1
021	Spearow	00	none	shiny	assets/pokemon-walksheets-549/dex-021__species-spearow__form-00__gender-none__palette-shiny__walk-3x4.png	assets/pokemon-runtime-549/dex-021__species-spearow__form-00__gender-none__palette-shiny__walk-3x4.png	pokemon_medium		3795cffad55fab1c2dba28a725b9e5c4057de9f793950e4010fcde7e64a5dd6b	619669634635aa99f16c37aadf62545c5439ff317c08b582637b1042150ac231	15	10	4776dde20c35242daa4d79bf036e79242e4fc10eafb2607c96f0b0e3d4b7d9d5	25be382bec0caa1f1db4a0422dac8c05e2c72f1aa87c05e78b376e8722b24e40	airborne-wing-flap-v1
022	Fearow	00	none	normal	assets/pokemon-walksheets-549/dex-022__species-fearow__form-00__gender-none__palette-normal__walk-3x4.png	assets/pokemon-runtime-549/dex-022__species-fearow__form-00__gender-none__palette-normal__walk-3x4.png	pokemon_medium		2209ec8a208ef0c9cf144037a80bc659d3410de9e3fc5c0c058add17f85636d9	bea997c8d0c190f75899886572fed63e737f034f4cffb7826bf27123e887737d	15	14	a439afc7ffefce4716a47aba3f699c82df8b9fae1c476c44aea418fd21f99f99	25be382bec0caa1f1db4a0422dac8c05e2c72f1aa87c05e78b376e8722b24e40	airborne-wing-flap-v1
