dex	species	form	gender	palette	idle_atlas	walk_atlas	runtime_strip	id	columns_idle	duration_idle	columns_walk	duration_walk	cell_width	cell_height	left	top	right	bottom	anchor_x	anchor_y	reference_height	runtime_content_width	runtime_content_height	idle_sha256	walk_sha256	runtime_sha256	source_receipt	status
2	ivysaur	base	none	normal	assets/pokemon-animation-cards/rc31-kanto-001-025-static-v1/dex-002__form-00__gender-none__palette-normal__idle-8x4.png	assets/pokemon-animation-cards/rc31-kanto-001-025-static-v1/dex-002__form-00__gender-none__palette-normal__walk-8x4.png	assets/pokemon-animation-cards/rc31-kanto-001-025-static-v1/dex-002__form-00__gender-none__palette-normal__runtime.png	rc31-original-trs-v1:pm0002_00:00:none:normal	8	1.6666667461395264	8	1.3333333730697632	256	256	17	48	239	212	128	200.64988388491915	159	15	12	149c402bcc7528e81143e7d6c047fe5e9dd37836cf6bd32de58e8f5246ea38d7	0538c5db53f4f67c832362781cf60962204df01259d3fbed80cd037c834c5aaf	10fb87f82c222ee2603134f2363e24d400a5d6f0ccd8045a35e655e0c6cd1e1b	assets/pokemon-animation-cards/rc31-kanto-001-025-static-v1/dex-002__form-00__gender-none__palette-normal__admission.json	verified-render
2	ivysaur	base	none	shiny	assets/pokemon-animation-cards/rc31-kanto-001-025-static-v1/dex-002__form-00__gender-none__palette-shiny__idle-8x4.png	assets/pokemon-animation-cards/rc31-kanto-001-025-static-v1/dex-002__form-00__gender-none__palette-shiny__walk-8x4.png	assets/pokemon-animation-cards/rc31-kanto-001-025-static-v1/dex-002__form-00__gender-none__palette-shiny__runtime.png	rc31-original-trs-v1:pm0002_00:00:none:shiny	8	1.6666667461395264	8	1.3333333730697632	256	256	17	48	239	212	128	200.64988388491915	159	15	12	b16151b56fcaf0129d010d5f8f11aae19a2a7f419484e3e1979eca7f668347f8	31f2827094f7f8ef02469a64c81c8b9c3fd71cdfc1813bb238bea8f032e4f9a4	cc7394c99dccb7b99cebd1e32b033cc2b625ec09d5328498a3325fd0433f58ed	assets/pokemon-animation-cards/rc31-kanto-001-025-static-v1/dex-002__form-00__gender-none__palette-shiny__admission.json	verified-render
3	venusaur	base	none	normal	assets/pokemon-animation-cards/rc31-kanto-001-025-static-v1/dex-003__form-00__gender-none__palette-normal__idle-8x4.png	assets/pokemon-animation-cards/rc31-kanto-001-025-static-v1/dex-003__form-00__gender-none__palette-normal__walk-8x4.png	assets/pokemon-animation-cards/rc31-kanto-001-025-static-v1/dex-003__form-00__gender-none__palette-normal__runtime.png	rc31-original-trs-v1:pm0003_00:00:none:normal	8	2	8	1.3333333730697632	256	256	17	56	239	206	128	194.01820328665474	143	15	11	fb67bb969524a0994d398ec9a3dbe4c4722ca7b5e50fc8407a1db8efec7d8935	31732815f207bb8458bc1505b2a7699794414bb53be10acec9aa50f6428c89df	7aa7613c2b601e1e0cb228514db659520c7b5f495e1022eb7f0991fd256a580b	assets/pokemon-animation-cards/rc31-kanto-001-025-static-v1/dex-003__form-00__gender-none__palette-normal__admission.json	verified-render
3	venusaur	base	none	shiny	assets/pokemon-animation-cards/rc31-kanto-001-025-static-v1/dex-003__form-00__gender-none__palette-shiny__idle-8x4.png	assets/pokemon-animation-cards/rc31-kanto-001-025-static-v1/dex-003__form-00__gender-none__palette-shiny__walk-8x4.png	assets/pokemon-animation-cards/rc31-kanto-001-025-static-v1/dex-003__form-00__gender-none__palette-shiny__runtime.png	rc31-original-trs-v1:pm0003_00:00:none:shiny	8	2	8	1.3333333730697632	256	256	17	56	239	206	128	194.01820328665474	143	15	11	541002bb5e434c3bb60bcaff73d1f535daa817fa9d32b759f1ddbddf2509d880	666075e24561b6ddbf8ec2759de4478cc51dc17bd4ca278f2bcffe68e7ea89b8	a40a5e12608ce38299b2f5c19847994b0d8aa10ee80873de7db20be7892ae127	assets/pokemon-animation-cards/rc31-kanto-001-025-static-v1/dex-003__form-00__gender-none__palette-shiny__admission.json	verified-render
4	charmander	base	none	normal	assets/pokemon-animation-cards/rc31-kanto-001-025-static-v1/dex-004__form-00__gender-none__palette-normal__idle-8x4.png	assets/pokemon-animation-cards/rc31-kanto-001-025-static-v1/dex-004__form-00__gender-none__palette-normal__walk-8x4.png	assets/pokemon-animation-cards/rc31-kanto-001-025-static-v1/dex-004__form-00__gender-none__palette-normal__runtime.png	rc31-original-trs-v1:pm0004_00:00:none:normal	8	1.1666667461395264	8	1	256	256	21	56	235	198	128	191.0153200276699	132	15	16	e89a0734b918e20d26d0e27cb2a461dd7d2c5d706c218f3e7aec930feb48234a	9150c0c6619eb7208ae62108aa75ec91ce3cec225231d50fddf8f21873230649	d73c633c4c662f29ee3664c81b2a79d5f5ba2c373a85b11399f98d3c49bf4185	assets/pokemon-animation-cards/rc31-kanto-001-025-static-v1/dex-004__form-00__gender-none__palette-normal__admission.json	verified-render
4	charmander	base	none	shiny	assets/pokemon-animation-cards/rc31-kanto-001-025-static-v1/dex-004__form-00__gender-none__palette-shiny__idle-8x4.png	assets/pokemon-animation-cards/rc31-kanto-001-025-static-v1/dex-004__form-00__gender-none__palette-shiny__walk-8x4.png	assets/pokemon-animation-cards/rc31-kanto-001-025-static-v1/dex-004__form-00__gender-none__palette-shiny__runtime.png	rc31-original-trs-v1:pm0004_00:00:none:shiny	8	1.1666667461395264	8	1	256	256	21	56	235	198	128	191.0153200276699	132	15	16	6b78f11071deddb693839b3c6424e6100ffecaea7a7058314a6503998c072ec4	e91a86985e82bf13bf430ddb4e7a338fd242d1d0166d2a693a377e1345223abd	c569231d9b949e3444d04ac7f43fe6327fabf66a6b0f5ac77b4a96dea173b27e	assets/pokemon-animation-cards/rc31-kanto-001-025-static-v1/dex-004__form-00__gender-none__palette-shiny__admission.json	verified-render
5	charmeleon	base	none	normal	assets/pokemon-animation-cards/rc31-kanto-001-025-static-v1/dex-005__form-00__gender-none__palette-normal__idle-8x4.png	assets/pokemon-animation-cards/rc31-kanto-001-025-static-v1/dex-005__form-00__gender-none__palette-normal__walk-8x4.png	assets/pokemon-animation-cards/rc31-kanto-001-025-static-v1/dex-005__form-00__gender-none__palette-normal__runtime.png	rc31-original-trs-v1:pm0005_00:00:none:normal	8	2	8	1	256	256	19	67	235	189	128	182.1315521575187	120	15	16	1470da187c6314cb3c02fd7176d3ccff5b49f131d12b2468bb30e4b429256438	ddda822334c004f7fe59cdb1baf3eb58400d90e70d994ecb1c2c6cb29364bb95	df250a65900627197a5d31a3d5c724ad98e430fca370af5e601946d472b47471	assets/pokemon-animation-cards/rc31-kanto-001-025-static-v1/dex-005__form-00__gender-none__palette-normal__admission.json	verified-render
5	charmeleon	base	none	shiny	assets/pokemon-animation-cards/rc31-kanto-001-025-static-v1/dex-005__form-00__gender-none__palette-shiny__idle-8x4.png	assets/pokemon-animation-cards/rc31-kanto-001-025-static-v1/dex-005__form-00__gender-none__palette-shiny__walk-8x4.png	assets/pokemon-animation-cards/rc31-kanto-001-025-static-v1/dex-005__form-00__gender-none__palette-shiny__runtime.png	rc31-original-trs-v1:pm0005_00:00:none:shiny	8	2	8	1	256	256	19	67	235	189	128	182.1315521575187	120	15	16	a3d69e4b6d7e45697fac0c44094dd6157f7a76628770c26c2a05919f87503cd5	1dddb14e5b8adc95ee03e2c66e6d9c25b957fb0c8bdb425e0d1303757269ab2a	3aa7a64a89896c25e8912cfb26d921e9e808b4aec5e2f857f35bc925c798368c	assets/pokemon-animation-cards/rc31-kanto-001-025-static-v1/dex-005__form-00__gender-none__palette-shiny__admission.json	verified-render
7	squirtle	base	none	normal	assets/pokemon-animation-cards/rc31-kanto-001-025-static-v1/dex-007__form-00__gender-none__palette-normal__idle-8x4.png	assets/pokemon-animation-cards/rc31-kanto-001-025-static-v1/dex-007__form-00__gender-none__palette-normal__walk-8x4.png	assets/pokemon-animation-cards/rc31-kanto-001-025-static-v1/dex-007__form-00__gender-none__palette-normal__runtime.png	rc31-original-trs-v1:pm0007_00:00:none:normal	8	1	8	0.8000000715255737	256	256	17	29	239	226	128	216.39727973761077	190	15	16	c78e94d9c7fb5f908d85b0f85bd125dd6d223948dadb5593147df3c2d7fc3b5a	9e608741ce518459d10391f1e9bf5f6409cf88b6bbc05559d0953f28094cbd8d	fc83ebf447d0ea5acfbb438f869a4408f5f4eb59c15c22d04300bbe57b19422c	assets/pokemon-animation-cards/rc31-kanto-001-025-static-v1/dex-007__form-00__gender-none__palette-normal__admission.json	verified-render
7	squirtle	base	none	shiny	assets/pokemon-animation-cards/rc31-kanto-001-025-static-v1/dex-007__form-00__gender-none__palette-shiny__idle-8x4.png	assets/pokemon-animation-cards/rc31-kanto-001-025-static-v1/dex-007__form-00__gender-none__palette-shiny__walk-8x4.png	assets/pokemon-animation-cards/rc31-kanto-001-025-static-v1/dex-007__form-00__gender-none__palette-shiny__runtime.png	rc31-original-trs-v1:pm0007_00:00:none:shiny	8	1	8	0.8000000715255737	256	256	17	29	239	226	128	216.39727973761077	190	15	16	ad2212566db2b47e040068ebaa9036706a104858b9440e197446b2226a6de43b	fcba903204c9cca2487cbe5a2e7d976d9832f3c2ec8872dd7c20067c08790a28	fdf17d5deaa72a52a6948e8917220073bcda80b5a25441a42c8c54a6aee00413	assets/pokemon-animation-cards/rc31-kanto-001-025-static-v1/dex-007__form-00__gender-none__palette-shiny__admission.json	verified-render
8	wartortle	base	none	normal	assets/pokemon-animation-cards/rc31-kanto-001-025-static-v1/dex-008__form-00__gender-none__palette-normal__idle-8x4.png	assets/pokemon-animation-cards/rc31-kanto-001-025-static-v1/dex-008__form-00__gender-none__palette-normal__walk-8x4.png	assets/pokemon-animation-cards/rc31-kanto-001-025-static-v1/dex-008__form-00__gender-none__palette-normal__runtime.png	rc31-original-trs-v1:pm0008_00:00:none:normal	8	1.0666667222976685	8	1	256	256	29	26	227	232	128	221.08913662565192	188	15	16	7e9575d5d26e884aff864edf1f12219f2e9d88548791fac6ecaf02305b822c4f	c693df34d3d83cccb3318a416a8423cfe73e27e66c74f74f18303d581a4d8ef9	973a6548a7fef297c792d14e9005304adb76ea99ae18477ec630bd411b3bf6f9	assets/pokemon-animation-cards/rc31-kanto-001-025-static-v1/dex-008__form-00__gender-none__palette-normal__admission.json	verified-render
8	wartortle	base	none	shiny	assets/pokemon-animation-cards/rc31-kanto-001-025-static-v1/dex-008__form-00__gender-none__palette-shiny__idle-8x4.png	assets/pokemon-animation-cards/rc31-kanto-001-025-static-v1/dex-008__form-00__gender-none__palette-shiny__walk-8x4.png	assets/pokemon-animation-cards/rc31-kanto-001-025-static-v1/dex-008__form-00__gender-none__palette-shiny__runtime.png	rc31-original-trs-v1:pm0008_00:00:none:shiny	8	1.0666667222976685	8	1	256	256	29	26	227	232	128	221.08913662565192	188	15	16	6a3b3bf233b4ae74ad00165d954e3cd6dd8eff44ae6f04001c3b171fd1ce56c9	0028a09c6f9b5435758aa718071fedafcefd8893c0fe402e74d8d08a71fb55fc	a19e79d8ed51ac909e6d540f6cdf0a79b60842cac95ea787d6d7e7ac8d143d5a	assets/pokemon-animation-cards/rc31-kanto-001-025-static-v1/dex-008__form-00__gender-none__palette-shiny__admission.json	verified-render
9	blastoise	base	none	normal	assets/pokemon-animation-cards/rc31-controller-six-v4/dex-009__form-00__gender-none__palette-normal__idle-8x4.png	assets/pokemon-animation-cards/rc31-controller-six-v4/dex-009__form-00__gender-none__palette-normal__walk-8x4.png	assets/pokemon-animation-cards/rc31-controller-six-v4/dex-009__form-00__gender-none__palette-normal__runtime.png	rc31-original-full-hierarchy-body-v3:pm0009_00:00:none:normal	8	2.6666667461395264	8	1.3333333730697632	256	256	17	44	239	216	128	204.84057286212484	162.13127420258309	15	14	fc2b1dd07ea2db666a5ac07e6c142ecb53b46e2bd7c8a73a35909cecb8d9c6f8	5b0bff99b4c3630256a8e27991601f05e9f5aa9e2d683d281b3b490f9ec14d4e	77b8bfdb467df5e19d8aa40b5d24c71e1fbad819e7314b60a5c54f32679c33fd	assets/pokemon-animation-cards/rc31-controller-six-v4/dex-009__form-00__gender-none__palette-normal__admission.json	verified-render
9	blastoise	base	none	shiny	assets/pokemon-animation-cards/rc31-controller-six-v4/dex-009__form-00__gender-none__palette-shiny__idle-8x4.png	assets/pokemon-animation-cards/rc31-controller-six-v4/dex-009__form-00__gender-none__palette-shiny__walk-8x4.png	assets/pokemon-animation-cards/rc31-controller-six-v4/dex-009__form-00__gender-none__palette-shiny__runtime.png	rc31-original-full-hierarchy-body-v3:pm0009_00:00:none:shiny	8	2.6666667461395264	8	1.3333333730697632	256	256	17	44	239	216	128	204.84057286212484	162.13127420258309	15	14	13ebb10f411787ced893fb203d479170ba7304d2304122785b723ad0940440a6	b52616d22c693f20c8c41d629d01525f96f7e706c8c3a1200dfbf1c11e6e0309	9b90905d16aab714399ccef430898578c3d49c3733694209a70f0bc694735e1a	assets/pokemon-animation-cards/rc31-controller-six-v4/dex-009__form-00__gender-none__palette-shiny__admission.json	verified-render
10	caterpie	base	none	normal	assets/pokemon-animation-cards/rc31-kanto-001-025-static-v1/dex-010__form-00__gender-none__palette-normal__idle-8x4.png	assets/pokemon-animation-cards/rc31-kanto-001-025-static-v1/dex-010__form-00__gender-none__palette-normal__walk-8x4.png	assets/pokemon-animation-cards/rc31-kanto-001-025-static-v1/dex-010__form-00__gender-none__palette-normal__runtime.png	rc31-original-trs-v1:pm0010_00:00:none:normal	8	1.6666667461395264	8	1	256	256	17	68	239	190	128	179.89195555266124	114	15	16	df1f6f0e9c8f210dab4b3c5f88aaa8549da6e34dcae96b36ac7a1bea28cd4ff6	85f8ad6612371ce63c14d31c16bdfb0971d1c667fee43853b4fb08b01cd392b6	fa0d545fc38bb1135bde0a7002c120a13935c13723bf87ba8a8b930823b6b873	assets/pokemon-animation-cards/rc31-kanto-001-025-static-v1/dex-010__form-00__gender-none__palette-normal__admission.json	verified-render
10	caterpie	base	none	shiny	assets/pokemon-animation-cards/rc31-kanto-001-025-static-v1/dex-010__form-00__gender-none__palette-shiny__idle-8x4.png	assets/pokemon-animation-cards/rc31-kanto-001-025-static-v1/dex-010__form-00__gender-none__palette-shiny__walk-8x4.png	assets/pokemon-animation-cards/rc31-kanto-001-025-static-v1/dex-010__form-00__gender-none__palette-shiny__runtime.png	rc31-original-trs-v1:pm0010_00:00:none:shiny	8	1.6666667461395264	8	1	256	256	17	68	239	190	128	179.89195555266124	114	15	16	8aa41fd0492d87f89d5a204fae03ada0cf3ebcb658f3051ad23e7f3e9953dfe5	086ea3986affab6f5b68005446d412ec3d9817b84bf558a9f26ae64fbeb0bc23	11b80f60c11a842ac3206ab9da6df5f214459cc929103ef19038b2ce26210a1a	assets/pokemon-animation-cards/rc31-kanto-001-025-static-v1/dex-010__form-00__gender-none__palette-shiny__admission.json	verified-render
11	metapod	base	none	normal	assets/pokemon-animation-cards/rc31-kanto-001-025-static-v1/dex-011__form-00__gender-none__palette-normal__idle-8x4.png	assets/pokemon-animation-cards/rc31-kanto-001-025-static-v1/dex-011__form-00__gender-none__palette-normal__walk-8x4.png	assets/pokemon-animation-cards/rc31-kanto-001-025-static-v1/dex-011__form-00__gender-none__palette-normal__runtime.png	rc31-original-trs-v1:pm0011_00:00:none:normal	8	2	8	1.0666667222976685	256	256	17	35	239	227	128	212.75559154015127	167	15	16	d9ce476e4a87b56db848ed223f030ebeff162b221e2fb43493ecf26d54cb4f3b	213893b4db0302fc46dd1c42385ea1506b6676ae6dde172b7fa1d7b8c7f22040	86ecad6bd02fe35b0569969d1027b6d629731932d4b2fae2385c8bf6614c4ab5	assets/pokemon-animation-cards/rc31-kanto-001-025-static-v1/dex-011__form-00__gender-none__palette-normal__admission.json	verified-render
11	metapod	base	none	shiny	assets/pokemon-animation-cards/rc31-kanto-001-025-static-v1/dex-011__form-00__gender-none__palette-shiny__idle-8x4.png	assets/pokemon-animation-cards/rc31-kanto-001-025-static-v1/dex-011__form-00__gender-none__palette-shiny__walk-8x4.png	assets/pokemon-animation-cards/rc31-kanto-001-025-static-v1/dex-011__form-00__gender-none__palette-shiny__runtime.png	rc31-original-trs-v1:pm0011_00:00:none:shiny	8	2	8	1.0666667222976685	256	256	17	35	239	227	128	212.75559154015127	167	15	16	540b8e8d67d708e714ec3508b3a93cc0820f5c08b819ca2bd6fac3b022b57c24	e12f6eef61f6d6c8cd7c80aa16daf5e8021a86ae8df41c45490b41eb73da67b2	ef9e74a464e26ce010d841ca0ac7a46610d5233c567a4406535a39c139110c31	assets/pokemon-animation-cards/rc31-kanto-001-025-static-v1/dex-011__form-00__gender-none__palette-shiny__admission.json	verified-render
12	butterfree	base	none	normal	assets/pokemon-animation-cards/rc31-kanto-001-025-static-v1/dex-012__form-00__gender-none__palette-normal__idle-8x4.png	assets/pokemon-animation-cards/rc31-kanto-001-025-static-v1/dex-012__form-00__gender-none__palette-normal__walk-8x4.png	assets/pokemon-animation-cards/rc31-kanto-001-025-static-v1/dex-012__form-00__gender-none__palette-normal__runtime.png	rc31-original-trs-body-v2:pm0012_00:00:none:normal	8	2.133333444595337	8	1	256	256	25	21	231	229	128	273.8785194206258	140.47027020110488	15	16	b226860400bb58566030ea721ad6f5ada81bac3ed0914da352b7c6e3d4ecb036	9edf5aa0110cf3743811ce0a808c4955a41d289489d27e2cfc65638c2c0bc818	064a30c263bcb1f64c53d44f2b0eb8cb12a65cc1e816d3cf7d33122caa1d3ee0	assets/pokemon-animation-cards/rc31-kanto-001-025-static-v1/dex-012__form-00__gender-none__palette-normal__flight-body-v2-admission.json	verified-render
12	butterfree	base	none	shiny	assets/pokemon-animation-cards/rc31-kanto-001-025-static-v1/dex-012__form-00__gender-none__palette-shiny__idle-8x4.png	assets/pokemon-animation-cards/rc31-kanto-001-025-static-v1/dex-012__form-00__gender-none__palette-shiny__walk-8x4.png	assets/pokemon-animation-cards/rc31-kanto-001-025-static-v1/dex-012__form-00__gender-none__palette-shiny__runtime.png	rc31-original-trs-body-v2:pm0012_00:00:none:shiny	8	2.133333444595337	8	1	256	256	25	21	231	229	128	273.8785194206258	140.47027020110488	15	16	8cabae27e83fd03063f4ab3bc6e311b6ab9dd8fbca0d4167d93c94112514a1f2	23c1af397f374aae1f568b418fd9b4a55408d131c78843bf770ab4f94f4544b7	90328e33bc4bf6a635f0b1681123d3df797f5ab61033757e69ac89f72f8dee02	assets/pokemon-animation-cards/rc31-kanto-001-025-static-v1/dex-012__form-00__gender-none__palette-shiny__flight-body-v2-admission.json	verified-render
