generation	map	line	x	y	sprite	role	visual_authority	script_or_text	asset	status
gen1	CeladonMansion3F	26	2	3	SPRITE_SILPH_WORKER_M	nonbattle	SPRITE_SILPH_WORKER_M	TEXT_CELADONMANSION3F_GAME_DESIGNER	assets/characters/npcs/silph-worker-male-kasc-hd-4x3-walk-sheet-v1.png	covered
gen1	CeladonMansionRoofHouse	15	2	2	SPRITE_HIKER	nonbattle	SPRITE_HIKER	TEXT_CELADONMANSION_ROOF_HOUSE_HIKER	assets/characters/npcs/hiker-kasc-hd-4x3-walk-sheet-v1.png	covered
gen1	CeladonMart1F	20	8	3	SPRITE_LINK_RECEPTIONIST	nonbattle	SPRITE_LINK_RECEPTIONIST	TEXT_CELADONMART1F_RECEPTIONIST	assets/characters/npcs/link-receptionist-kasc-hd-4x3-walk-sheet-v1.png	covered
gen1	CeladonMart2F	19	5	3	SPRITE_CLERK	nonbattle	SPRITE_CLERK	TEXT_CELADONMART2F_CLERK1	assets/characters/npcs/clerk-kasc-hd-4x3-walk-sheet-v1.png	covered
gen1	CeladonMart2F	20	6	3	SPRITE_CLERK	nonbattle	SPRITE_CLERK	TEXT_CELADONMART2F_CLERK2	assets/characters/npcs/clerk-kasc-hd-4x3-walk-sheet-v1.png	covered
gen1	CeladonMart2F	21	19	5	SPRITE_MIDDLE_AGED_MAN	nonbattle	SPRITE_MIDDLE_AGED_MAN	TEXT_CELADONMART2F_MIDDLE_AGED_MAN	assets/characters/npcs/middle-aged-man-kasc-hd-4x3-walk-sheet-v1.png	covered
gen1	CeladonMart2F	22	14	4	SPRITE_GIRL	nonbattle	SPRITE_GIRL	TEXT_CELADONMART2F_GIRL	assets/characters/npcs/girl-kasc-hd-4x3-walk-sheet-v1.png	covered
gen1	CeladonMart3F	31	16	5	SPRITE_CLERK	nonbattle	SPRITE_CLERK	TEXT_CELADONMART3F_CLERK	assets/characters/npcs/clerk-kasc-hd-4x3-walk-sheet-v1.png	covered
gen1	CeladonMart3F	32	11	6	SPRITE_GAMEBOY_KID	nonbattle	SPRITE_GAMEBOY_KID	TEXT_CELADONMART3F_GAMEBOY_KID1	assets/characters/npcs/game-boy-kid-kasc-hd-4x3-walk-sheet-v1.png	covered
gen1	CeladonMart3F	33	7	2	SPRITE_GAMEBOY_KID	nonbattle	SPRITE_GAMEBOY_KID	TEXT_CELADONMART3F_GAMEBOY_KID2	assets/characters/npcs/game-boy-kid-kasc-hd-4x3-walk-sheet-v1.png	covered
gen1	CeladonMart3F	34	8	2	SPRITE_GAMEBOY_KID	nonbattle	SPRITE_GAMEBOY_KID	TEXT_CELADONMART3F_GAMEBOY_KID3	assets/characters/npcs/game-boy-kid-kasc-hd-4x3-walk-sheet-v1.png	covered
gen1	CeladonMart3F	35	2	5	SPRITE_LITTLE_BOY	nonbattle	SPRITE_LITTLE_BOY	TEXT_CELADONMART3F_LITTLE_BOY	assets/characters/npcs/little-boy-kasc-hd-4x3-walk-sheet-v1.png	covered
gen1	CeladonMart4F	18	5	7	SPRITE_CLERK	nonbattle	SPRITE_CLERK	TEXT_CELADONMART4F_CLERK	assets/characters/npcs/clerk-kasc-hd-4x3-walk-sheet-v1.png	covered
gen1	CeladonMart4F	19	15	5	SPRITE_SUPER_NERD	nonbattle	SPRITE_SUPER_NERD	TEXT_CELADONMART4F_SUPER_NERD	assets/characters/npcs/super-nerd-kasc-hd-4x3-walk-sheet-v1.png	covered
gen1	CeladonMart4F	20	5	2	SPRITE_YOUNGSTER	nonbattle	SPRITE_YOUNGSTER	TEXT_CELADONMART4F_YOUNGSTER	assets/characters/npcs/youngster-gen1-bald-hd-4x3-walk-sheet-v1.png	covered
gen1	CeladonMart5F	19	14	5	SPRITE_GENTLEMAN	nonbattle	SPRITE_GENTLEMAN	TEXT_CELADONMART5F_GENTLEMAN	assets/characters/npcs/gentleman-kasc-hd-4x3-walk-sheet-v1.png	covered
gen1	CeladonMart5F	20	2	6	SPRITE_SAILOR	nonbattle	SPRITE_SAILOR	TEXT_CELADONMART5F_SAILOR	assets/characters/npcs/sailor-kasc-hd-4x3-walk-sheet-v1.png	covered
gen1	CeladonMart5F	21	5	3	SPRITE_CLERK	nonbattle	SPRITE_CLERK	TEXT_CELADONMART5F_CLERK1	assets/characters/npcs/clerk-kasc-hd-4x3-walk-sheet-v1.png	covered
gen1	CeladonMart5F	22	6	3	SPRITE_CLERK	nonbattle	SPRITE_CLERK	TEXT_CELADONMART5F_CLERK2	assets/characters/npcs/clerk-kasc-hd-4x3-walk-sheet-v1.png	covered
gen1	CeladonMartRoof	18	10	4	SPRITE_SUPER_NERD	nonbattle	SPRITE_SUPER_NERD	TEXT_CELADONMARTROOF_SUPER_NERD	assets/characters/npcs/super-nerd-kasc-hd-4x3-walk-sheet-v1.png	covered
gen1	CeladonMartRoof	19	5	5	SPRITE_LITTLE_GIRL	nonbattle	SPRITE_LITTLE_GIRL	TEXT_CELADONMARTROOF_LITTLE_GIRL	assets/characters/npcs/little-girl-kasc-hd-4x3-walk-sheet-v1.png	covered
gen1	CeladonPokecenter	17	3	1	SPRITE_NURSE	nonbattle	SPRITE_NURSE	TEXT_CELADONPOKECENTER_NURSE	assets/characters/npcs/nurse-kasc-hd-4x3-walk-sheet-v1.png	covered
gen1	CeladonPokecenter	18	7	3	SPRITE_GENTLEMAN	nonbattle	SPRITE_GENTLEMAN	TEXT_CELADONPOKECENTER_GENTLEMAN	assets/characters/npcs/gentleman-kasc-hd-4x3-walk-sheet-v1.png	covered
gen1	CeladonPokecenter	19	10	5	SPRITE_BEAUTY	nonbattle	SPRITE_BEAUTY	TEXT_CELADONPOKECENTER_BEAUTY	assets/characters/npcs/beauty-kasc-hd-4x3-walk-sheet-v1.png	covered
gen1	CeladonPokecenter	20	11	2	SPRITE_LINK_RECEPTIONIST	nonbattle	SPRITE_LINK_RECEPTIONIST	TEXT_CELADONPOKECENTER_LINK_RECEPTIONIST	assets/characters/npcs/link-receptionist-kasc-hd-4x3-walk-sheet-v1.png	covered
gen1	CeruleanBadgeHouse	15	5	3	SPRITE_MIDDLE_AGED_MAN	nonbattle	SPRITE_MIDDLE_AGED_MAN	TEXT_CERULEANBADGEHOUSE_MIDDLE_AGED_MAN	assets/characters/npcs/middle-aged-man-kasc-hd-4x3-walk-sheet-v1.png	covered
gen1	CeruleanCity	38	20	2	SPRITE_BLUE	nonbattle	SPRITE_BLUE	TEXT_CERULEANCITY_RIVAL	assets/characters/npcs/blue-kasc-hd-4x3-walk-sheet-v2.png	covered
gen1	CeruleanCity	39	30	8	SPRITE_ROCKET	battle	OPP_ROCKET	TEXT_CERULEANCITY_ROCKET	assets/characters/npcs/team-rocket-grunt-male-kasc-hd-4x3-walk-sheet-v1.png	covered
gen1	CeruleanCity	40	31	20	SPRITE_COOLTRAINER_M	nonbattle	SPRITE_COOLTRAINER_M	TEXT_CERULEANCITY_COOLTRAINER_M	assets/characters/npcs/cooltrainer-male-kasc-hd-4x3-walk-sheet-v1.png	covered
gen1	CeruleanCity	41	15	18	SPRITE_SUPER_NERD	nonbattle	SPRITE_SUPER_NERD	TEXT_CERULEANCITY_SUPER_NERD1	assets/characters/npcs/super-nerd-kasc-hd-4x3-walk-sheet-v1.png	covered
gen1	CeruleanCity	42	9	21	SPRITE_SUPER_NERD	nonbattle	SPRITE_SUPER_NERD	TEXT_CERULEANCITY_SUPER_NERD2	assets/characters/npcs/super-nerd-kasc-hd-4x3-walk-sheet-v1.png	covered
gen1	CeruleanCity	43	28	12	SPRITE_GUARD	nonbattle	SPRITE_GUARD	TEXT_CERULEANCITY_GUARD1	assets/characters/npcs/guard-kasc-hd-4x3-walk-sheet-v1.png	covered
gen1	CeruleanCity	44	29	26	SPRITE_COOLTRAINER_F	nonbattle	SPRITE_COOLTRAINER_F	TEXT_CERULEANCITY_COOLTRAINER_F1	assets/characters/npcs/cooltrainer-female-kasc-hd-4x3-walk-sheet-v1.png	covered
gen1	CeruleanCity	46	9	27	SPRITE_COOLTRAINER_F	nonbattle	SPRITE_COOLTRAINER_F	TEXT_CERULEANCITY_COOLTRAINER_F2	assets/characters/npcs/cooltrainer-female-kasc-hd-4x3-walk-sheet-v1.png	covered
gen1	CeruleanCity	47	4	12	SPRITE_SUPER_NERD	nonbattle	SPRITE_SUPER_NERD	TEXT_CERULEANCITY_SUPER_NERD3	assets/characters/npcs/super-nerd-kasc-hd-4x3-walk-sheet-v1.png	covered
gen1	CeruleanCity	48	27	12	SPRITE_GUARD	nonbattle	SPRITE_GUARD	TEXT_CERULEANCITY_GUARD2	assets/characters/npcs/guard-kasc-hd-4x3-walk-sheet-v1.png	covered
gen1	CeruleanGym	17	4	2	SPRITE_BRUNETTE_GIRL	battle	OPP_MISTY	TEXT_CERULEANGYM_MISTY	assets/characters/npcs/misty-kasc-hd-4x3-walk-sheet-v1.png	covered
gen1	CeruleanGym	18	2	3	SPRITE_COOLTRAINER_F	battle	OPP_JR_TRAINER_F	TEXT_CERULEANGYM_COOLTRAINER_F	assets/characters/npcs/jr-trainer-female-kasc-hd-4x3-walk-sheet-v1.png	covered
gen1	CeruleanGym	19	8	7	SPRITE_SWIMMER	battle	OPP_SWIMMER	TEXT_CERULEANGYM_SWIMMER	assets/characters/npcs/swimmer-kasc-hd-4x3-walk-sheet-v1.png	covered
gen1	CeruleanGym	20	7	10	SPRITE_GYM_GUIDE	nonbattle	SPRITE_GYM_GUIDE	TEXT_CERULEANGYM_GYM_GUIDE	assets/characters/npcs/gym-guide-kasc-hd-4x3-walk-sheet-v1.png	covered
gen1	CeruleanMart	16	0	5	SPRITE_CLERK	nonbattle	SPRITE_CLERK	TEXT_CERULEANMART_CLERK	assets/characters/npcs/clerk-kasc-hd-4x3-walk-sheet-v1.png	covered
gen1	CeruleanMart	17	3	4	SPRITE_COOLTRAINER_M	nonbattle	SPRITE_COOLTRAINER_M	TEXT_CERULEANMART_COOLTRAINER_M	assets/characters/npcs/cooltrainer-male-kasc-hd-4x3-walk-sheet-v1.png	covered
gen1	CeruleanMart	18	6	2	SPRITE_COOLTRAINER_F	nonbattle	SPRITE_COOLTRAINER_F	TEXT_CERULEANMART_COOLTRAINER_F	assets/characters/npcs/cooltrainer-female-kasc-hd-4x3-walk-sheet-v1.png	covered
gen1	CeruleanPokecenter	17	3	1	SPRITE_NURSE	nonbattle	SPRITE_NURSE	TEXT_CERULEANPOKECENTER_NURSE	assets/characters/npcs/nurse-kasc-hd-4x3-walk-sheet-v1.png	covered
gen1	CeruleanPokecenter	18	10	5	SPRITE_SUPER_NERD	nonbattle	SPRITE_SUPER_NERD	TEXT_CERULEANPOKECENTER_SUPER_NERD	assets/characters/npcs/super-nerd-kasc-hd-4x3-walk-sheet-v1.png	covered
gen1	CeruleanPokecenter	19	4	3	SPRITE_GENTLEMAN	nonbattle	SPRITE_GENTLEMAN	TEXT_CERULEANPOKECENTER_GENTLEMAN	assets/characters/npcs/gentleman-kasc-hd-4x3-walk-sheet-v1.png	covered
gen1	CeruleanPokecenter	20	11	2	SPRITE_LINK_RECEPTIONIST	nonbattle	SPRITE_LINK_RECEPTIONIST	TEXT_CERULEANPOKECENTER_LINK_RECEPTIONIST	assets/characters/npcs/link-receptionist-kasc-hd-4x3-walk-sheet-v1.png	covered
gen1	CeruleanTradeHouse	15	5	4	SPRITE_GRANNY	nonbattle	SPRITE_GRANNY	TEXT_CERULEANTRADEHOUSE_GRANNY	assets/characters/npcs/granny-kasc-hd-4x3-walk-sheet-v1.png	covered
gen1	CeruleanTradeHouse	16	1	2	SPRITE_GAMBLER	nonbattle	SPRITE_GAMBLER	TEXT_CERULEANTRADEHOUSE_GAMBLER	assets/characters/npcs/gambler-kasc-hd-4x3-walk-sheet-v1.png	covered
gen1	CeruleanTrashedHouse	17	2	1	SPRITE_FISHING_GURU	nonbattle	SPRITE_FISHING_GURU	TEXT_CERULEANTRASHEDHOUSE_FISHING_GURU	assets/characters/npcs/fishing-guru-kasc-hd-4x3-walk-sheet-v1.png	covered
gen1	CeruleanTrashedHouse	18	5	6	SPRITE_GIRL	nonbattle	SPRITE_GIRL	TEXT_CERULEANTRASHEDHOUSE_GIRL	assets/characters/npcs/girl-kasc-hd-4x3-walk-sheet-v1.png	covered
gen1	ChampionsRoom	17	4	2	SPRITE_BLUE	nonbattle	SPRITE_BLUE	TEXT_CHAMPIONSROOM_RIVAL	assets/characters/npcs/blue-kasc-hd-4x3-walk-sheet-v2.png	covered
gen1	ChampionsRoom	18	3	7	SPRITE_OAK	nonbattle	SPRITE_OAK	TEXT_CHAMPIONSROOM_OAK	assets/characters/npcs/professor-oak-kasc-hd-4x3-walk-sheet-v1.png	covered
gen1	CinnabarGym	22	3	3	SPRITE_MIDDLE_AGED_MAN	battle	OPP_BLAINE	TEXT_CINNABARGYM_BLAINE	assets/characters/npcs/blaine-kasc-hd-4x3-walk-sheet-v1.png	covered
gen1	CinnabarGym	23	17	2	SPRITE_SUPER_NERD	battle	OPP_SUPER_NERD	TEXT_CINNABARGYM_SUPER_NERD1	assets/characters/npcs/super-nerd-kasc-hd-4x3-walk-sheet-v1.png	covered
gen1	CinnabarGym	24	17	8	SPRITE_SUPER_NERD	battle	OPP_BURGLAR	TEXT_CINNABARGYM_SUPER_NERD2	assets/characters/npcs/burglar-kasc-hd-4x3-walk-sheet-v1.png	covered
gen1	CinnabarGym	25	11	4	SPRITE_SUPER_NERD	battle	OPP_SUPER_NERD	TEXT_CINNABARGYM_SUPER_NERD3	assets/characters/npcs/super-nerd-kasc-hd-4x3-walk-sheet-v1.png	covered
gen1	CinnabarGym	26	11	8	SPRITE_SUPER_NERD	battle	OPP_BURGLAR	TEXT_CINNABARGYM_SUPER_NERD4	assets/characters/npcs/burglar-kasc-hd-4x3-walk-sheet-v1.png	covered
gen1	CinnabarGym	27	11	14	SPRITE_SUPER_NERD	battle	OPP_SUPER_NERD	TEXT_CINNABARGYM_SUPER_NERD5	assets/characters/npcs/super-nerd-kasc-hd-4x3-walk-sheet-v1.png	covered
gen1	CinnabarGym	28	3	14	SPRITE_SUPER_NERD	battle	OPP_BURGLAR	TEXT_CINNABARGYM_SUPER_NERD6	assets/characters/npcs/burglar-kasc-hd-4x3-walk-sheet-v1.png	covered
gen1	CinnabarGym	29	3	8	SPRITE_SUPER_NERD	battle	OPP_SUPER_NERD	TEXT_CINNABARGYM_SUPER_NERD7	assets/characters/npcs/super-nerd-kasc-hd-4x3-walk-sheet-v1.png	covered
gen1	CinnabarGym	30	16	13	SPRITE_GYM_GUIDE	nonbattle	SPRITE_GYM_GUIDE	TEXT_CINNABARGYM_GYM_GUIDE	assets/characters/npcs/gym-guide-kasc-hd-4x3-walk-sheet-v1.png	covered
gen1	CinnabarIsland	23	12	5	SPRITE_GIRL	nonbattle	SPRITE_GIRL	TEXT_CINNABARISLAND_GIRL	assets/characters/npcs/girl-kasc-hd-4x3-walk-sheet-v1.png	covered
gen1	CinnabarIsland	24	14	6	SPRITE_GAMBLER	nonbattle	SPRITE_GAMBLER	TEXT_CINNABARISLAND_GAMBLER	assets/characters/npcs/gambler-kasc-hd-4x3-walk-sheet-v1.png	covered
gen1	CinnabarLab	21	1	3	SPRITE_FISHING_GURU	nonbattle	SPRITE_FISHING_GURU	TEXT_CINNABARLAB_FISHING_GURU	assets/characters/npcs/fishing-guru-kasc-hd-4x3-walk-sheet-v1.png	covered
gen1	CinnabarLabFossilRoom	15	5	2	SPRITE_SCIENTIST	nonbattle	SPRITE_SCIENTIST	TEXT_CINNABARLABFOSSILROOM_SCIENTIST1	assets/characters/npcs/scientist-kasc-hd-4x3-walk-sheet-v1.png	covered
gen1	CinnabarLabFossilRoom	16	7	6	SPRITE_SCIENTIST	nonbattle	SPRITE_SCIENTIST	TEXT_CINNABARLABFOSSILROOM_SCIENTIST2	assets/characters/npcs/scientist-kasc-hd-4x3-walk-sheet-v1.png	covered
gen1	CinnabarLabMetronomeRoom	18	7	2	SPRITE_SCIENTIST	nonbattle	SPRITE_SCIENTIST	TEXT_CINNABARLABMETRONOMEROOM_SCIENTIST1	assets/characters/npcs/scientist-kasc-hd-4x3-walk-sheet-v1.png	covered
gen1	CinnabarLabMetronomeRoom	19	2	3	SPRITE_SCIENTIST	nonbattle	SPRITE_SCIENTIST	TEXT_CINNABARLABMETRONOMEROOM_SCIENTIST2	assets/characters/npcs/scientist-kasc-hd-4x3-walk-sheet-v1.png	covered
gen1	CinnabarLabTradeRoom	16	3	2	SPRITE_SUPER_NERD	nonbattle	SPRITE_SUPER_NERD	TEXT_CINNABARLABTRADEROOM_SUPER_NERD	assets/characters/npcs/super-nerd-kasc-hd-4x3-walk-sheet-v1.png	covered
gen1	CinnabarLabTradeRoom	17	1	4	SPRITE_GRAMPS	nonbattle	SPRITE_GRAMPS	TEXT_CINNABARLABTRADEROOM_GRAMPS	assets/characters/npcs/gramps-kasc-hd-4x3-walk-sheet-v1.png	covered
gen1	CinnabarLabTradeRoom	18	5	5	SPRITE_BEAUTY	nonbattle	SPRITE_BEAUTY	TEXT_CINNABARLABTRADEROOM_BEAUTY	assets/characters/npcs/beauty-kasc-hd-4x3-walk-sheet-v1.png	covered
gen1	CinnabarMart	16	0	5	SPRITE_CLERK	nonbattle	SPRITE_CLERK	TEXT_CINNABARMART_CLERK	assets/characters/npcs/clerk-kasc-hd-4x3-walk-sheet-v1.png	covered
gen1	CinnabarMart	17	6	2	SPRITE_SILPH_WORKER_F	nonbattle	SPRITE_SILPH_WORKER_F	TEXT_CINNABARMART_SILPH_WORKER_F	assets/characters/npcs/silph-worker-female-kasc-hd-4x3-walk-sheet-v1.png	covered
gen1	CinnabarMart	18	3	4	SPRITE_SCIENTIST	nonbattle	SPRITE_SCIENTIST	TEXT_CINNABARMART_SCIENTIST	assets/characters/npcs/scientist-kasc-hd-4x3-walk-sheet-v1.png	covered
gen1	CinnabarPokecenter	17	3	1	SPRITE_NURSE	nonbattle	SPRITE_NURSE	TEXT_CINNABARPOKECENTER_NURSE	assets/characters/npcs/nurse-kasc-hd-4x3-walk-sheet-v1.png	covered
gen1	CinnabarPokecenter	18	9	4	SPRITE_COOLTRAINER_F	nonbattle	SPRITE_COOLTRAINER_F	TEXT_CINNABARPOKECENTER_COOLTRAINER_F	assets/characters/npcs/cooltrainer-female-kasc-hd-4x3-walk-sheet-v1.png	covered
