base_atlas	variant_atlas	variant
assets/characters/npcs/middle-aged-woman-kasc-hd-4x3-walk-sheet-v1.png	assets/characters/npcs/middle-aged-woman-kasc-hd-4x3-walk-sheet-v1-variant-gray-blue.png	gray-blue
assets/characters/npcs/middle-aged-woman-kasc-hd-4x3-walk-sheet-v1.png	assets/characters/npcs/middle-aged-woman-kasc-hd-4x3-walk-sheet-v1-variant-auburn-forest.png	auburn-forest
assets/characters/npcs/middle-aged-man-kasc-hd-4x3-walk-sheet-v1.png	assets/characters/npcs/middle-aged-man-kasc-hd-4x3-walk-sheet-v1-variant-gray-olive.png	gray-olive
assets/characters/npcs/middle-aged-man-kasc-hd-4x3-walk-sheet-v1.png	assets/characters/npcs/middle-aged-man-kasc-hd-4x3-walk-sheet-v1-variant-blond-navy.png	blond-navy
assets/characters/npcs/pokefan-male-gen2-kasc-hd-4x3-walk-sheet-v1.png	assets/characters/npcs/pokefan-male-gen2-kasc-hd-4x3-walk-sheet-v1-variant-auburn-teal.png	auburn-teal
assets/characters/npcs/pokefan-male-gen2-kasc-hd-4x3-walk-sheet-v1.png	assets/characters/npcs/pokefan-male-gen2-kasc-hd-4x3-walk-sheet-v1-variant-blond-navy.png	blond-navy
assets/characters/npcs/super-nerd-kasc-hd-4x3-walk-sheet-v1.png	assets/characters/npcs/super-nerd-kasc-hd-4x3-walk-sheet-v1-variant-auburn-teal.png	auburn-teal
assets/characters/npcs/super-nerd-kasc-hd-4x3-walk-sheet-v1.png	assets/characters/npcs/super-nerd-kasc-hd-4x3-walk-sheet-v1-variant-blond-navy.png	blond-navy
assets/characters/npcs/cooltrainer-female-kasc-hd-4x3-walk-sheet-v1.png	assets/characters/npcs/cooltrainer-female-kasc-hd-4x3-walk-sheet-v1-variant-auburn-teal.png	auburn-teal
assets/characters/npcs/cooltrainer-female-kasc-hd-4x3-walk-sheet-v1.png	assets/characters/npcs/cooltrainer-female-kasc-hd-4x3-walk-sheet-v1-variant-blond-navy.png	blond-navy
assets/characters/npcs/gramps-kasc-hd-4x3-walk-sheet-v1.png	assets/characters/npcs/gramps-kasc-hd-4x3-walk-sheet-v1-variant-auburn-teal.png	auburn-teal
assets/characters/npcs/gramps-kasc-hd-4x3-walk-sheet-v1.png	assets/characters/npcs/gramps-kasc-hd-4x3-walk-sheet-v1-variant-blond-navy.png	blond-navy
assets/characters/npcs/police-officer-gen2-kasc-hd-4x3-walk-sheet-v1.png	assets/characters/npcs/police-officer-gen2-kasc-hd-4x3-walk-sheet-v1-variant-auburn-teal.png	auburn-teal
assets/characters/npcs/police-officer-gen2-kasc-hd-4x3-walk-sheet-v1.png	assets/characters/npcs/police-officer-gen2-kasc-hd-4x3-walk-sheet-v1-variant-blond-navy.png	blond-navy
assets/characters/npcs/gentleman-kasc-hd-4x3-walk-sheet-v1.png	assets/characters/npcs/gentleman-kasc-hd-4x3-walk-sheet-v1-variant-auburn-teal.png	auburn-teal
assets/characters/npcs/gentleman-kasc-hd-4x3-walk-sheet-v1.png	assets/characters/npcs/gentleman-kasc-hd-4x3-walk-sheet-v1-variant-blond-navy.png	blond-navy
assets/characters/npcs/clerk-kasc-hd-4x3-walk-sheet-v1.png	assets/characters/npcs/clerk-kasc-hd-4x3-walk-sheet-v1-variant-auburn-teal.png	auburn-teal
assets/characters/npcs/clerk-kasc-hd-4x3-walk-sheet-v1.png	assets/characters/npcs/clerk-kasc-hd-4x3-walk-sheet-v1-variant-blond-navy.png	blond-navy
assets/characters/npcs/sailor-kasc-hd-4x3-walk-sheet-v1.png	assets/characters/npcs/sailor-kasc-hd-4x3-walk-sheet-v1-variant-auburn-teal.png	auburn-teal
assets/characters/npcs/sailor-kasc-hd-4x3-walk-sheet-v1.png	assets/characters/npcs/sailor-kasc-hd-4x3-walk-sheet-v1-variant-blond-navy.png	blond-navy
assets/characters/npcs/gym-guide-kasc-hd-4x3-walk-sheet-v1.png	assets/characters/npcs/gym-guide-kasc-hd-4x3-walk-sheet-v1-variant-auburn-teal.png	auburn-teal
assets/characters/npcs/gym-guide-kasc-hd-4x3-walk-sheet-v1.png	assets/characters/npcs/gym-guide-kasc-hd-4x3-walk-sheet-v1-variant-blond-navy.png	blond-navy
assets/characters/npcs/sage-gen2-kasc-hd-4x3-walk-sheet-v1.png	assets/characters/npcs/sage-gen2-kasc-hd-4x3-walk-sheet-v1-variant-auburn-teal.png	auburn-teal
assets/characters/npcs/sage-gen2-kasc-hd-4x3-walk-sheet-v1.png	assets/characters/npcs/sage-gen2-kasc-hd-4x3-walk-sheet-v1-variant-blond-navy.png	blond-navy
assets/characters/npcs/pokefan-female-gen2-kasc-hd-4x3-walk-sheet-v1.png	assets/characters/npcs/pokefan-female-gen2-kasc-hd-4x3-walk-sheet-v1-variant-auburn-teal.png	auburn-teal
assets/characters/npcs/pokefan-female-gen2-kasc-hd-4x3-walk-sheet-v1.png	assets/characters/npcs/pokefan-female-gen2-kasc-hd-4x3-walk-sheet-v1-variant-blond-navy.png	blond-navy
assets/characters/npcs/nurse-kasc-hd-4x3-walk-sheet-v1.png	assets/characters/npcs/nurse-kasc-hd-4x3-walk-sheet-v1-variant-auburn-teal.png	auburn-teal
assets/characters/npcs/nurse-kasc-hd-4x3-walk-sheet-v1.png	assets/characters/npcs/nurse-kasc-hd-4x3-walk-sheet-v1-variant-blond-navy.png	blond-navy
assets/characters/npcs/bug-catcher-kasc-hd-4x3-walk-sheet-v1.png	assets/characters/npcs/bug-catcher-kasc-hd-4x3-walk-sheet-v1-variant-auburn-teal.png	auburn-teal
assets/characters/npcs/bug-catcher-kasc-hd-4x3-walk-sheet-v1.png	assets/characters/npcs/bug-catcher-kasc-hd-4x3-walk-sheet-v1-variant-blond-navy.png	blond-navy
assets/characters/npcs/twins-gen2-kasc-hd-4x3-walk-sheet-v1.png	assets/characters/npcs/twins-gen2-kasc-hd-4x3-walk-sheet-v1-variant-auburn-teal.png	auburn-teal
assets/characters/npcs/twins-gen2-kasc-hd-4x3-walk-sheet-v1.png	assets/characters/npcs/twins-gen2-kasc-hd-4x3-walk-sheet-v1-variant-blond-navy.png	blond-navy
assets/characters/npcs/granny-kasc-hd-4x3-walk-sheet-v1.png	assets/characters/npcs/granny-kasc-hd-4x3-walk-sheet-v1-variant-auburn-teal.png	auburn-teal
assets/characters/npcs/granny-kasc-hd-4x3-walk-sheet-v1.png	assets/characters/npcs/granny-kasc-hd-4x3-walk-sheet-v1-variant-blond-navy.png	blond-navy
assets/characters/npcs/blackbelt-kasc-hd-4x3-walk-sheet-v1.png	assets/characters/npcs/blackbelt-kasc-hd-4x3-walk-sheet-v1-variant-auburn-teal.png	auburn-teal
assets/characters/npcs/blackbelt-kasc-hd-4x3-walk-sheet-v1.png	assets/characters/npcs/blackbelt-kasc-hd-4x3-walk-sheet-v1-variant-blond-navy.png	blond-navy
assets/characters/npcs/receptionist-gen2-kasc-hd-4x3-walk-sheet-v1.png	assets/characters/npcs/receptionist-gen2-kasc-hd-4x3-walk-sheet-v1-variant-auburn-teal.png	auburn-teal
assets/characters/npcs/receptionist-gen2-kasc-hd-4x3-walk-sheet-v1.png	assets/characters/npcs/receptionist-gen2-kasc-hd-4x3-walk-sheet-v1-variant-blond-navy.png	blond-navy
assets/characters/npcs/fishing-guru-kasc-hd-4x3-walk-sheet-v1.png	assets/characters/npcs/fishing-guru-kasc-hd-4x3-walk-sheet-v1-variant-auburn-teal.png	auburn-teal
assets/characters/npcs/fishing-guru-kasc-hd-4x3-walk-sheet-v1.png	assets/characters/npcs/fishing-guru-kasc-hd-4x3-walk-sheet-v1-variant-blond-navy.png	blond-navy
assets/characters/npcs/guitarist-gen2-kasc-hd-4x3-walk-sheet-v1.png	assets/characters/npcs/guitarist-gen2-kasc-hd-4x3-walk-sheet-v1-variant-auburn-teal.png	auburn-teal
assets/characters/npcs/guitarist-gen2-kasc-hd-4x3-walk-sheet-v1.png	assets/characters/npcs/guitarist-gen2-kasc-hd-4x3-walk-sheet-v1-variant-blond-navy.png	blond-navy
assets/characters/npcs/swimmer-female-gen2-kasc-hd-4x3-walk-sheet-v1.png	assets/characters/npcs/swimmer-female-gen2-kasc-hd-4x3-walk-sheet-v1-variant-auburn-teal.png	auburn-teal
assets/characters/npcs/swimmer-female-gen2-kasc-hd-4x3-walk-sheet-v1.png	assets/characters/npcs/swimmer-female-gen2-kasc-hd-4x3-walk-sheet-v1-variant-blond-navy.png	blond-navy
assets/characters/npcs/beauty-kasc-hd-4x3-walk-sheet-v1.png	assets/characters/npcs/beauty-kasc-hd-4x3-walk-sheet-v1-variant-auburn-teal.png	auburn-teal
assets/characters/npcs/beauty-kasc-hd-4x3-walk-sheet-v1.png	assets/characters/npcs/beauty-kasc-hd-4x3-walk-sheet-v1-variant-blond-navy.png	blond-navy
assets/characters/npcs/pharmacist-gen2-kasc-hd-4x3-walk-sheet-v1.png	assets/characters/npcs/pharmacist-gen2-kasc-hd-4x3-walk-sheet-v1-variant-auburn-teal.png	auburn-teal
assets/characters/npcs/pharmacist-gen2-kasc-hd-4x3-walk-sheet-v1.png	assets/characters/npcs/pharmacist-gen2-kasc-hd-4x3-walk-sheet-v1-variant-blond-navy.png	blond-navy
assets/characters/npcs/game-boy-kid-kasc-hd-4x3-walk-sheet-v1.png	assets/characters/npcs/game-boy-kid-kasc-hd-4x3-walk-sheet-v1-variant-auburn-teal.png	auburn-teal
assets/characters/npcs/game-boy-kid-kasc-hd-4x3-walk-sheet-v1.png	assets/characters/npcs/game-boy-kid-kasc-hd-4x3-walk-sheet-v1-variant-blond-navy.png	blond-navy
