dex	species	form	gender	palette	atlas	runtime_strip	scale_class	height_dm	file_sha256	rgba_sha256	runtime_content_width	runtime_content_height	motion_profile
010	caterpie	00	none	normal	assets/pokemon-walksheets/dex-010__species-caterpie__form-00__gender-none__palette-normal__walk-3x4.png	assets/pokemon-runtime/dex-010__species-caterpie__form-00__gender-none__palette-normal__walk-3x4.png	pokemon_small	3	384635a6bb044827a527abf0036f37f8cde7a8da9964744da5866ca166779d69	b5533ceb711210c9ea9d1d9d02f74425aa58b62db40be102553841031d2616cc	15	16	larval-inchworm-v1
011	metapod	00	none	normal	assets/pokemon-walksheets/dex-011__species-metapod__form-00__gender-none__palette-normal__walk-3x4.png	assets/pokemon-runtime/dex-011__species-metapod__form-00__gender-none__palette-normal__walk-3x4.png	pokemon_small	7	7653a80cfe9821498eb154176ed40a311b0331ad29ebdb560a795145a6d0be63	e7f16eca8e41f6ba29ce77cf518cd611303be522298a5b48d75bb27253644423	15	16	ground-hop-bounce-v1
012	butterfree	00	female	normal	assets/pokemon-walksheets/dex-012__species-butterfree__form-00__gender-female__palette-normal__walk-3x4.png	assets/pokemon-runtime/dex-012__species-butterfree__form-00__gender-female__palette-normal__walk-3x4.png	pokemon_medium	11	e1da662b7a2ea6c00310fd632eff5f9da8c21e619cae95b2bef3e24154f56bea	d0aa03c1a8f979f877ab695bcb174a4a25abcf24e6cb279879ef347e2868f6f3	14	16	airborne-wing-flap-v1
012	butterfree	00	male	normal	assets/pokemon-walksheets/dex-012__species-butterfree__form-00__gender-male__palette-normal__walk-3x4.png	assets/pokemon-runtime/dex-012__species-butterfree__form-00__gender-male__palette-normal__walk-3x4.png	pokemon_medium	11	6887e6d88452689e273e929f523bcffd9705cf5419557ec3832752d06167a906	b07aff3dc6306f21189235e34085bbfad06671218d075d324ca56ca6aaa5e403	14	16	airborne-wing-flap-v1
013	weedle	00	none	normal	assets/pokemon-walksheets/dex-013__species-weedle__form-00__gender-none__palette-normal__walk-3x4.png	assets/pokemon-runtime/dex-013__species-weedle__form-00__gender-none__palette-normal__walk-3x4.png	pokemon_small	3	bed7fc9ada927e1ad9ed605f1840396787a31c7324c0af92093e376460909944	dc1a1ccc5aaed52deffb9af975bc12af1c2d36776f9103dab175f8902f56944b	15	16	larval-inchworm-v1
014	kakuna	00	none	normal	assets/pokemon-walksheets/dex-014__species-kakuna__form-00__gender-none__palette-normal__walk-3x4.png	assets/pokemon-runtime/dex-014__species-kakuna__form-00__gender-none__palette-normal__walk-3x4.png	pokemon_small	6	73a97bb343f49f276577cdbdae2253855fc74370800dd965b3e67408da3b6031	9c95dc7d95ad7562b22bdf26aeef65e1f19ea6bfc7d06e4c2172cd30fc82266e	9	16	ground-hop-bounce-v1
015	beedrill	00	none	normal	assets/pokemon-walksheets/dex-015__species-beedrill__form-00__gender-none__palette-normal__walk-3x4.png	assets/pokemon-runtime/dex-015__species-beedrill__form-00__gender-none__palette-normal__walk-3x4.png	pokemon_medium	10	b671d262bbdb794ac4f4df98e80ed09fa29ca95e0f781cd8272dcfe8630f0a78	9aeda512144690c3d949750b159cca836988d1d79f7598a3ca9ec10fc8f4282c	14	16	airborne-wing-flap-v1
016	pidgey	00	none	normal	assets/pokemon-walksheets/dex-016__species-pidgey__form-00__gender-none__palette-normal__walk-3x4.png	assets/pokemon-runtime/dex-016__species-pidgey__form-00__gender-none__palette-normal__walk-3x4.png	pokemon_small	3	bcd1781b1787e304695fbd8cde8df78ad4fab51d481c30a673a2be0fa3d2f9cd	ad2fb8ca2d1358594d07534ec584208d0e128fb617032ea836f954a285c62ffe	15	12	airborne-wing-flap-v1
016	pidgey	00	none	shiny	assets/pokemon-walksheets/dex-016__species-pidgey__form-00__gender-none__palette-shiny__walk-3x4.png	assets/pokemon-runtime/dex-016__species-pidgey__form-00__gender-none__palette-shiny__walk-3x4.png	pokemon_small	3	20feebef7660215fc1eb650592217420e037d8fb20ca081cdbb38cab11b55a43	79ccf19ad59d4ba365db89df552217b43976dd5ac76f40875dc30fea75034c66	15	12	airborne-wing-flap-v1
017	pidgeotto	00	none	normal	assets/pokemon-walksheets/dex-017__species-pidgeotto__form-00__gender-none__palette-normal__walk-3x4.png	assets/pokemon-runtime/dex-017__species-pidgeotto__form-00__gender-none__palette-normal__walk-3x4.png	pokemon_medium	11	7ae28cd86e5f38dd4e57714fa179c0d07e67faa1669e8dd629f589cc8bf54f8d	75525b3ec89a06e467dd3303fdc7032b12adb06c8ba026fe1ea3a61c0f058d67	15	13	airborne-wing-flap-v1
018	pidgeot	00	none	normal	assets/pokemon-walksheets/dex-018__species-pidgeot__form-00__gender-none__palette-normal__walk-3x4.png	assets/pokemon-runtime/dex-018__species-pidgeot__form-00__gender-none__palette-normal__walk-3x4.png	pokemon_large	15	7fdbb70b6a803413a7600abb2da1027f0339a847cea719159bf228f1536ec94a	445424c480a68efa2d4fc32772900aceddc5ea80f55c7fe391712ce2a0ced875	14	16	airborne-wing-flap-v1
019	rattata	00	female	normal	assets/pokemon-walksheets/dex-019__species-rattata__form-00__gender-female__palette-normal__walk-3x4.png	assets/pokemon-runtime/dex-019__species-rattata__form-00__gender-female__palette-normal__walk-3x4.png	pokemon_small	3	08afa5d6a8e24c74e8a9f732afb654b42ff4037f88837ce77d3f98b71e1f4610	1f80894c9d52db13b38349fb6c059b6d8462943026e04ebd291dc0499cfb392e	15	16	terrestrial-quadruped-light-v1
019	rattata	00	male	normal	assets/pokemon-walksheets/dex-019__species-rattata__form-00__gender-male__palette-normal__walk-3x4.png	assets/pokemon-runtime/dex-019__species-rattata__form-00__gender-male__palette-normal__walk-3x4.png	pokemon_small	3	9b33612612a4d01d60903ce895c8c4ef8a0b25b27817ae888dce03caa8c5b969	ebc4570714644229eab5661f08b0e19954841731237c4e3fa2d787d1e7abc03e	15	16	terrestrial-quadruped-light-v1
020	raticate	00	female	normal	assets/pokemon-walksheets/dex-020__species-raticate__form-00__gender-female__palette-normal__walk-3x4.png	assets/pokemon-runtime/dex-020__species-raticate__form-00__gender-female__palette-normal__walk-3x4.png	pokemon_small	7	2bd6e0e0aee64d562a7718da43821b2adf6d4f4b25f5fbd2ccdaefd341726335	d2c8ec8148930b51891a1cf48a18a6cf52962b0c700101c5d73ad2129c7b264e	15	16	terrestrial-quadruped-light-v1
020	raticate	00	male	normal	assets/pokemon-walksheets/dex-020__species-raticate__form-00__gender-male__palette-normal__walk-3x4.png	assets/pokemon-runtime/dex-020__species-raticate__form-00__gender-male__palette-normal__walk-3x4.png	pokemon_small	7	a8399a6727cb0068c306354a10a5663fb9a4b8bd29a370887dd593699841fe68	42afe0060493d6e6094a718112639a2142ed8faae5b228acf1242cbfbadd0f98	15	16	terrestrial-quadruped-light-v1
021	spearow	00	none	normal	assets/pokemon-walksheets/dex-021__species-spearow__form-00__gender-none__palette-normal__walk-3x4.png	assets/pokemon-runtime/dex-021__species-spearow__form-00__gender-none__palette-normal__walk-3x4.png	pokemon_small	3	8122db4fe1ce6e37ec0d501d735639324672790e94f58c0b66c7b9f271994eec	9e8a00d3f50316700c7ea8402eb4ad4f86e3cc2473b98ff4f27f4371e68fad6c	15	10	airborne-wing-flap-v1
021	spearow	00	none	shiny	assets/pokemon-walksheets/dex-021__species-spearow__form-00__gender-none__palette-shiny__walk-3x4.png	assets/pokemon-runtime/dex-021__species-spearow__form-00__gender-none__palette-shiny__walk-3x4.png	pokemon_small	3	894f26d1afdd1bca4c2bd4903e406986bb8a5943e158a1c37476562787c94cb4	5b854ca8449598a3e5e4a3a0082d347e8c712aa48ffbb1b09d5b98b6fde3b219	15	10	airborne-wing-flap-v1
022	fearow	00	none	normal	assets/pokemon-walksheets/dex-022__species-fearow__form-00__gender-none__palette-normal__walk-3x4.png	assets/pokemon-runtime/dex-022__species-fearow__form-00__gender-none__palette-normal__walk-3x4.png	pokemon_medium	12	8f7841407cba12bb0fc75e490cc0f3071b202cf0e00a1c4f4393b3730a6319e6	c9ab301c387d0bc6832585ed6614d69cb2f3c2aca70f8ab680b4cb91c84395a7	15	11	airborne-wing-flap-v1
023	ekans	00	none	normal	assets/pokemon-walksheets/dex-023__species-ekans__form-00__gender-none__palette-normal__walk-3x4.png	assets/pokemon-runtime/dex-023__species-ekans__form-00__gender-none__palette-normal__walk-3x4.png	pokemon_large	20	c8c667792106795e23528e311d58f820d705ba5a6a4b454b78a550c044ab6093	82ba0176b49ccbdb8ea40c5e5c51ab9233b53d94a7b20f5c1c8692ca7b39e376	15	13	terrestrial-serpentine-wave-v1
024	arbok	00	none	normal	assets/pokemon-walksheets/dex-024__species-arbok__form-00__gender-none__palette-normal__walk-3x4.png	assets/pokemon-runtime/dex-024__species-arbok__form-00__gender-none__palette-normal__walk-3x4.png	pokemon_large	35	3c6ca3c95378d8bc7fe7fcf8d62113cacf105e902423206e330e806bcefd7a68	39550d702b37c63d27e154823b7087ab99521a45c59debdb44085011f62c1588	15	16	terrestrial-serpentine-wave-v1
025	pikachu	00	female	normal	assets/pokemon-walksheets/dex-025__species-pikachu__form-00__gender-female__palette-normal__walk-3x4.png	assets/pokemon-runtime/dex-025__species-pikachu__form-00__gender-female__palette-normal__walk-3x4.png	pokemon_small	4	0fdd929dfbc94411d349a44ede8cef1a7f45c8a34408fe20c5b93a2a2f684139	de68ca05f37fa1c2235552eebf1ee1fa2225e5df4f534294d50d80b52afce99d	14	16	terrestrial-biped-light-v1
025	pikachu	00	female	shiny	assets/pokemon-walksheets/dex-025__species-pikachu__form-00__gender-female__palette-shiny__walk-3x4.png	assets/pokemon-runtime/dex-025__species-pikachu__form-00__gender-female__palette-shiny__walk-3x4.png	pokemon_small	4	bd30243847cf237b2c3ddad057b47004fe924a5252c0b2b8bcfd7310d415ed3b	1bcbb13709f32ddd5a97966ca6505ffd726889ed6fe6fbe33d678c46205c70b0	14	16	terrestrial-biped-light-v1
025	pikachu	00	male	normal	assets/pokemon-walksheets/dex-025__species-pikachu__form-00__gender-male__palette-normal__walk-3x4.png	assets/pokemon-runtime/dex-025__species-pikachu__form-00__gender-male__palette-normal__walk-3x4.png	pokemon_small	4	e155aaed09b40e5c13d1049be6a2fbfd61665aba77ed0e51e48ec5cf12ba24e7	b1e642a0a16ce468a75c25d917fac3c4ee010391ed5aea508c6b1aed0a95c446	14	16	terrestrial-biped-light-v1
025	pikachu	00	male	shiny	assets/pokemon-walksheets/dex-025__species-pikachu__form-00__gender-male__palette-shiny__walk-3x4.png	assets/pokemon-runtime/dex-025__species-pikachu__form-00__gender-male__palette-shiny__walk-3x4.png	pokemon_small	4	fdec4bdbdffadef60f957a91dd5598654ea3e9ea7c839084def031ad07c237c8	b478b6cce0c7a3f7247a0103f9c01b299bdbbe506a8399d67bc4f9e5a6060f7b	14	16	terrestrial-biped-light-v1
026	raichu	00	female	normal	assets/pokemon-walksheets/dex-026__species-raichu__form-00__gender-female__palette-normal__walk-3x4.png	assets/pokemon-runtime/dex-026__species-raichu__form-00__gender-female__palette-normal__walk-3x4.png	pokemon_medium	8	1612e13007880a80c9246852bc1c49d8a9834ca1d6988df163ae2c2976364116	7813eeb928f0c3e05ffd47f59807f2ddfe873861a0d45cc2f3357edd1ae9aad4	13	16	terrestrial-biped-light-v1
026	raichu	00	male	normal	assets/pokemon-walksheets/dex-026__species-raichu__form-00__gender-male__palette-normal__walk-3x4.png	assets/pokemon-runtime/dex-026__species-raichu__form-00__gender-male__palette-normal__walk-3x4.png	pokemon_medium	8	e2078ac6ddba3b0150c0f0b22b3b449bcb4270b31b6b046b735cc14a08d6be8d	387ad18afcf61da04bfeaed7b7b11c9e9e519f7b33ce87dc969bf3dbed5559f5	12	16	terrestrial-biped-light-v1
027	sandshrew	00	none	normal	assets/pokemon-walksheets/dex-027__species-sandshrew__form-00__gender-none__palette-normal__walk-3x4.png	assets/pokemon-runtime/dex-027__species-sandshrew__form-00__gender-none__palette-normal__walk-3x4.png	pokemon_small	6	b0dfbca6bf9c361b666761db466a0a8f490ba1cb38ab3d2d604a511930a71a81	a63639b38796fde063a604ef028cab178be72c49d8aed39e7453c5fd2e8de292	15	16	terrestrial-biped-light-v1
028	sandslash	00	none	normal	assets/pokemon-walksheets/dex-028__species-sandslash__form-00__gender-none__palette-normal__walk-3x4.png	assets/pokemon-runtime/dex-028__species-sandslash__form-00__gender-none__palette-normal__walk-3x4.png	pokemon_medium	10	a4d85fda806a3a3759073162bc52aa10a016e9730e8004213adca6d964212f81	12ef9666a764836d2559b05d71fb3b7a2509fb28c1564c17086f957398ae57d1	15	16	terrestrial-biped-light-v1
029	nidoranf	00	none	normal	assets/pokemon-walksheets/dex-029__species-nidoranf__form-00__gender-none__palette-normal__walk-3x4.png	assets/pokemon-runtime/dex-029__species-nidoranf__form-00__gender-none__palette-normal__walk-3x4.png	pokemon_small	4	7522fd3bca4bc01357088d50bad38e731f77caf2e4302118006de79b335d0987	6cd9f0f68c14ce13ec5ea39663247b62729382076456a2d2c59e658d904d927d	15	15	terrestrial-quadruped-light-v1
030	nidorina	00	none	normal	assets/pokemon-walksheets/dex-030__species-nidorina__form-00__gender-none__palette-normal__walk-3x4.png	assets/pokemon-runtime/dex-030__species-nidorina__form-00__gender-none__palette-normal__walk-3x4.png	pokemon_medium	8	a43c71fc528f7b5d954cf407927c1a35033b9ee6020853d332dc3aff77e8ce7e	2c0d92a00892d4a52c4c26ab6757c80b8aa7ec5b3e8dc06d94b0c16db9a61779	15	16	terrestrial-quadruped-light-v1
031	nidoqueen	00	none	normal	assets/pokemon-walksheets/dex-031__species-nidoqueen__form-00__gender-none__palette-normal__walk-3x4.png	assets/pokemon-runtime/dex-031__species-nidoqueen__form-00__gender-none__palette-normal__walk-3x4.png	pokemon_medium	13	7954de313d144f0344eb82600c62ded61cdf4c01f2e35795bbf6c4634c3b8398	6b9ebde01af1f8e042d955a844273be389807c4eed26b6a75cbef11508b0dad1	15	16	terrestrial-biped-heavy-v1
032	nidoranm	00	none	normal	assets/pokemon-walksheets/dex-032__species-nidoranm__form-00__gender-none__palette-normal__walk-3x4.png	assets/pokemon-runtime/dex-032__species-nidoranm__form-00__gender-none__palette-normal__walk-3x4.png	pokemon_small	5	1e63cda170452efd64833a3be52b0995baf7bfd385d0ab12250b1d3321d91103	16c35b9766e369cf31d253fa7e6009eac97f12f04c75685f0bf75711e95edbd6	15	16	terrestrial-quadruped-light-v1
033	nidorino	00	none	normal	assets/pokemon-walksheets/dex-033__species-nidorino__form-00__gender-none__palette-normal__walk-3x4.png	assets/pokemon-runtime/dex-033__species-nidorino__form-00__gender-none__palette-normal__walk-3x4.png	pokemon_medium	9	7240cadefd7498351a048faedda53a2415e7a5600a49e59bac0454ede1ea90f3	ada31fb346b1279425f0f11915dee8ecb1ea170c7b61cfe27a8875b68011171e	15	13	terrestrial-quadruped-light-v1
034	nidoking	00	none	normal	assets/pokemon-walksheets/dex-034__species-nidoking__form-00__gender-none__palette-normal__walk-3x4.png	assets/pokemon-runtime/dex-034__species-nidoking__form-00__gender-none__palette-normal__walk-3x4.png	pokemon_medium	14	07dab06491afa7ab5990204c04de498e510f64738692babb62c657a74900e8f0	f50d7e5a687765889fa8c509127c7b4a7e56dec4aa08beac551e403bd2ac77c1	15	16	terrestrial-biped-heavy-v1
035	clefairy	00	none	normal	assets/pokemon-walksheets/dex-035__species-clefairy__form-00__gender-none__palette-normal__walk-3x4.png	assets/pokemon-runtime/dex-035__species-clefairy__form-00__gender-none__palette-normal__walk-3x4.png	pokemon_small	6	1f6ab1f348c6ea427fbcfe98fb9b1d4580fe59f4023bff2ec97d3d4ee4235717	66344269f1e2c1c842ab3629ebe3713b23fc90d2835555a0038c4cb14900edcc	15	15	terrestrial-biped-light-v1
036	clefable	00	none	normal	assets/pokemon-walksheets/dex-036__species-clefable__form-00__gender-none__palette-normal__walk-3x4.png	assets/pokemon-runtime/dex-036__species-clefable__form-00__gender-none__palette-normal__walk-3x4.png	pokemon_medium	13	ab8cd6a5b5aac153aa45e6e6ef4ed733f5cf508214d80c516a52899863b3fc25	5191da8412be73542370a4070165902fd0505c29f9505c48dc366f322c28dcb2	15	16	terrestrial-biped-light-v1
037	vulpix	00	none	normal	assets/pokemon-walksheets/dex-037__species-vulpix__form-00__gender-none__palette-normal__walk-3x4.png	assets/pokemon-runtime/dex-037__species-vulpix__form-00__gender-none__palette-normal__walk-3x4.png	pokemon_small	6	6c9576b27ace1ccb8b1a3e4de021c94b20dc7c3ba361b9b8c83622a4cb5f6e3d	e76939829b51347ec48a30d12003878b809b4db619c753b5dce33d924fb5427d	15	14	terrestrial-quadruped-light-v1
038	ninetales	00	none	normal	assets/pokemon-walksheets/dex-038__species-ninetales__form-00__gender-none__palette-normal__walk-3x4.png	assets/pokemon-runtime/dex-038__species-ninetales__form-00__gender-none__palette-normal__walk-3x4.png	pokemon_medium	11	03ada0cf2bdf48f99d908c0ef9bb9dd7db63655107d75499b9b406bc4109a393	8a39b23b3d0a8a63f9a13ed70d6d62805927ae31cab6b361c3d74d6b64ac791f	15	14	terrestrial-quadruped-light-v1
039	jigglypuff	00	none	normal	assets/pokemon-walksheets/dex-039__species-jigglypuff__form-00__gender-none__palette-normal__walk-3x4.png	assets/pokemon-runtime/dex-039__species-jigglypuff__form-00__gender-none__palette-normal__walk-3x4.png	pokemon_small	5	40d872aa3117f490b77ebe0b439865b0cff06384542e8173aeca0f6a0ca47dd1	9bbefe623a583e822f005d8564fb559f13781f29cc498d708f3bd30c561f07eb	15	16	terrestrial-biped-light-v1
040	wigglytuff	00	none	normal	assets/pokemon-walksheets/dex-040__species-wigglytuff__form-00__gender-none__palette-normal__walk-3x4.png	assets/pokemon-runtime/dex-040__species-wigglytuff__form-00__gender-none__palette-normal__walk-3x4.png	pokemon_medium	10	0bcdb07b64bd8375ae6e224329500bff8373b5946b086dc01347d25af138879a	d8142a1fe86a931d942af91924050185fed141d2bae28bc4fd1fdd940d0c565d	15	16	terrestrial-biped-light-v1
041	zubat	00	female	normal	assets/pokemon-walksheets/dex-041__species-zubat__form-00__gender-female__palette-normal__walk-3x4.png	assets/pokemon-runtime/dex-041__species-zubat__form-00__gender-female__palette-normal__walk-3x4.png	pokemon_medium	8	dff9f19344967cebb50d91034895895ed053b797d6cdfea79c6a5ca57e476f16	30ba9528d83a11a78efb437f9a6f2b192d45fd9eafcafb358a4714a1bbbca21b	15	16	airborne-wing-flap-v1
041	zubat	00	male	normal	assets/pokemon-walksheets/dex-041__species-zubat__form-00__gender-male__palette-normal__walk-3x4.png	assets/pokemon-runtime/dex-041__species-zubat__form-00__gender-male__palette-normal__walk-3x4.png	pokemon_medium	8	249d6c5bb96fd8132c8c3fc736561fe98ed264b0c99a7105fbaede46c655c49b	6f44bb86b6d776e41d59f72bed61c1fa28ffb5f37dcd5cecb893730e2b5b8498	15	16	airborne-wing-flap-v1
042	golbat	00	female	normal	assets/pokemon-walksheets/dex-042__species-golbat__form-00__gender-female__palette-normal__walk-3x4.png	assets/pokemon-runtime/dex-042__species-golbat__form-00__gender-female__palette-normal__walk-3x4.png	pokemon_large	16	9fdafb418f7fe0a55fb815fca862a22599c421a0a284b2baae474ac715a903d2	8bccb87ee7b73f8d70f345b9c0f178a6518602b8c82fcda3e762edf56b299ca1	15	16	airborne-wing-flap-v1
042	golbat	00	male	normal	assets/pokemon-walksheets/dex-042__species-golbat__form-00__gender-male__palette-normal__walk-3x4.png	assets/pokemon-runtime/dex-042__species-golbat__form-00__gender-male__palette-normal__walk-3x4.png	pokemon_large	16	2ba5847632d373cb3db77827d51fdf088a8e9977a7c59b9b2cc9d9598dae69d3	c4b9585f7457fecf9584df60c8a7c31700f7ec6de6135e2c511869cf6d5ae396	15	16	airborne-wing-flap-v1
043	oddish	00	none	normal	assets/pokemon-walksheets/dex-043__species-oddish__form-00__gender-none__palette-normal__walk-3x4.png	assets/pokemon-runtime/dex-043__species-oddish__form-00__gender-none__palette-normal__walk-3x4.png	pokemon_small	5	093a29f2c1bcedbb5c28163804a0e4afcc90081d772058573c04a16903526d09	79ae7cf94d0f9c9698baabb84d7e6796532ad111661c275a0ce192a7326d9c4b	15	16	terrestrial-biped-light-v1
044	gloom	00	female	normal	assets/pokemon-walksheets/dex-044__species-gloom__form-00__gender-female__palette-normal__walk-3x4.png	assets/pokemon-runtime/dex-044__species-gloom__form-00__gender-female__palette-normal__walk-3x4.png	pokemon_medium	8	26201b2fed3eba2bfe23cd5e6bc8b146d34926ba551cbb7e120686d7e4a47962	a14356b7ff11d1332ad233437eecca1d3db405ffce1b9d41510997d43bcc4811	15	16	terrestrial-biped-light-v1
044	gloom	00	male	normal	assets/pokemon-walksheets/dex-044__species-gloom__form-00__gender-male__palette-normal__walk-3x4.png	assets/pokemon-runtime/dex-044__species-gloom__form-00__gender-male__palette-normal__walk-3x4.png	pokemon_medium	8	34134d761458bd64598346bdb61f1dec0faf5e6d2dc593b24f3988b2b2ec13aa	9c33613d4763a4ccb34f8a359d7a7dc871b19d4cc5ff424607424b46b8d1f031	15	16	terrestrial-biped-light-v1
045	vileplume	00	female	normal	assets/pokemon-walksheets/dex-045__species-vileplume__form-00__gender-female__palette-normal__walk-3x4.png	assets/pokemon-runtime/dex-045__species-vileplume__form-00__gender-female__palette-normal__walk-3x4.png	pokemon_medium	12	032416aef6059f9e649f60709c841482cf86f5625bf460b66d08819275459319	69ac90edf98748da3be8ccaef714d1fbd83b05c110b8978865e0871464159d03	15	10	terrestrial-biped-light-v1
045	vileplume	00	male	normal	assets/pokemon-walksheets/dex-045__species-vileplume__form-00__gender-male__palette-normal__walk-3x4.png	assets/pokemon-runtime/dex-045__species-vileplume__form-00__gender-male__palette-normal__walk-3x4.png	pokemon_medium	12	f1465e23552902a897d5438c60a86cf9e0a9bb36def67720128d946b9273411a	411d707295678a179e02a36320c52c70ff749c3ff2be9d588e67589f48bbccec	15	10	terrestrial-biped-light-v1
046	paras	00	none	normal	assets/pokemon-walksheets/dex-046__species-paras__form-00__gender-none__palette-normal__walk-3x4.png	assets/pokemon-runtime/dex-046__species-paras__form-00__gender-none__palette-normal__walk-3x4.png	pokemon_small	3	505dc8e3ce1a1225dab13feca9beef5f49bd02263af3548c3745617300b679f0	7bd7dd4e4d9d806fec1565647c38fa126cd083b8c15d8d23d1defe56b4765cd4	15	12	terrestrial-multiped-crawl-v1
047	parasect	00	none	normal	assets/pokemon-walksheets/dex-047__species-parasect__form-00__gender-none__palette-normal__walk-3x4.png	assets/pokemon-runtime/dex-047__species-parasect__form-00__gender-none__palette-normal__walk-3x4.png	pokemon_medium	10	e530051a82f1e173051e0e0179371fa7768f53dd2558816a2cf269f375c30353	5ce11e015d26dbcf26274884ca2bfa313dec352f0c929147c1764200739db54b	15	13	terrestrial-multiped-crawl-v1
